Order_ID;Customer_ID;Product_ID;Order_Date;Qty;Discount;Channel;Campaign
O00102;C0631;P145;2025-07-02;3;0,28;Tokopedia;11.11
O00103;C0488;P299;2025-11-27;4;0,02;Tokopedia;None
O00104;C0868;P208;2025-04-26;2;0,15;App;None
O00105;C0822;P100;2024-09-06;2;0,02;App;11.11
O00106;C0153;P029;2025-09-07;4;0,04;Tokopedia;12.12
O00107;C0868;P034;2024-09-19;3;0,18;Shopee;Ramadhan
O00108;C0854;P249;2025-01-12;1;0,37;Shopee;12.12
O00109;C0259;P133;2024-08-15;2;0,28;Shopee;Ramadhan
O00110;C0343;P139;2025-08-21;4;0,32;Shopee;12.12
O00111;C0711;P041;2025-06-03;3;0,28;Website;None
O00112;C0050;P034;2024-04-11;5;0,09;Website;12.12
O00113;C0589;P278;2024-05-02;2;0,07;App;Ramadhan
O00114;C0481;P144;2025-10-28;5;0,08;Tokopedia;12.12
O00115;C0803;P190;2025-07-12;3;0,38;Website;11.11
O00116;C0827;P092;2025-09-11;2;0,33;Shopee;12.12
O00117;C0170;P223;2025-05-02;5;0,28;Website;11.11
O00118;C0780;P294;2025-07-20;4;0,27;Website;None
O00119;C0828;P194;2024-05-15;5;0,08;Tokopedia;11.11
O00120;C0491;P096;2025-03-13;1;0,07;Shopee;None
O00121;C0218;P299;2024-10-25;4;0,3;App;None
O00122;C0301;P270;2025-11-07;1;0;Website;None
O00123;C0992;P260;2025-06-26;3;0,05;App;12.12
O00124;C0061;P266;2025-04-14;3;0,01;Website;None
O00125;C0586;P218;2025-07-14;1;0,33;App;11.11
O00126;C0982;P029;2024-09-13;2;0,39;Tokopedia;11.11
O00127;C0574;P215;2025-03-07;5;0,06;Tokopedia;Ramadhan
O00128;C0436;P264;2025-05-05;3;0,16;Website;Ramadhan
O00129;C0910;P181;2024-11-28;4;0,2;Tokopedia;11.11
O00130;C0559;P146;2025-04-15;2;0,16;Shopee;12.12
O00131;C0707;P023;2025-08-26;5;0,12;App;None
O00132;C0103;P090;2025-03-19;5;0,18;Website;None
O00133;C0244;P217;2025-02-24;3;0,18;Tokopedia;None
O00134;C0123;P218;2024-03-16;1;0,21;App;12.12
O00135;C0363;P005;2025-08-20;4;0,4;Tokopedia;Ramadhan
O00136;C0045;P039;2025-11-21;3;0,35;App;12.12
O00137;C0138;P263;2024-12-19;4;0,06;App;Ramadhan
O00138;C0794;P158;2024-02-20;5;0,34;Tokopedia;None
O00139;C0530;P171;2024-03-05;2;0,3;Tokopedia;None
O00140;C0832;P087;2024-11-18;3;0,03;Website;None
O00141;C0464;P227;2025-11-15;4;0,05;Tokopedia;None
O00142;C0222;P112;2025-07-23;2;0,07;Website;12.12
O00143;C0710;P173;2024-10-25;3;0,36;Website;None
O00144;C0871;P197;2024-08-08;3;0,19;Shopee;Ramadhan
O00145;C0166;P257;2024-01-15;2;0,39;App;11.11
O00146;C0070;P064;2025-08-26;5;0,25;Website;Ramadhan
O00147;C0126;P228;2025-04-16;3;0,38;Tokopedia;12.12
O00148;C0013;P111;2024-10-29;3;0,4;Website;11.11
O00149;C0172;P014;2024-11-11;2;0,28;Tokopedia;Ramadhan
O00150;C0282;P232;2025-10-13;3;0,04;Website;12.12
O00151;C0178;P103;2024-06-07;3;0,12;Shopee;Ramadhan
O00152;C0730;P244;2025-04-18;2;0,21;Website;None
O00153;C0709;P062;2025-07-19;1;0,18;Shopee;None
O00154;C0990;P137;2025-09-18;4;0,26;Shopee;12.12
O00155;C0825;P209;2025-09-23;3;0,2;Tokopedia;None
O00156;C0144;P188;2024-10-04;5;0,4;Shopee;None
O00157;C0518;P025;2025-11-16;4;0,1;Website;Ramadhan
O00158;C0529;P173;2025-01-04;1;0,1;Tokopedia;12.12
O00159;C0795;P022;2025-11-25;2;0,23;Tokopedia;11.11
O00160;C0679;P055;2025-02-17;4;0,32;Website;12.12
O00161;C0876;P281;2024-10-09;3;0,05;Shopee;11.11
O00162;C0612;P054;2025-07-22;1;0,23;Website;None
O00163;C0707;P230;2025-07-23;1;0,05;App;11.11
O00164;C0884;P271;2024-10-13;1;0,08;Shopee;11.11
O00165;C0976;P158;2025-01-17;2;0,39;App;11.11
O00166;C0964;P102;2024-12-07;1;0,23;Shopee;12.12
O00167;C0082;P149;2025-11-29;4;0,11;App;12.12
O00168;C0302;P232;2024-07-01;5;0,4;App;12.12
O00169;C0968;P300;2024-07-18;1;0,11;Tokopedia;11.11
O00170;C0256;P070;2025-10-29;2;0,2;App;Ramadhan
O00171;C0580;P019;2024-03-30;5;0,3;Website;None
O00172;C0951;P212;2024-04-25;4;0,2;Website;12.12
O00173;C0399;P096;2025-07-30;2;0,19;App;12.12
O00174;C0110;P065;2024-05-13;2;0,17;Tokopedia;12.12
O00175;C0942;P289;2025-12-26;3;0,1;App;None
O00176;C0622;P037;2025-06-16;4;0,4;Shopee;Ramadhan
O00177;C0731;P191;2024-06-03;3;0,05;Tokopedia;11.11
O00178;C0180;P140;2024-08-19;3;0,27;Tokopedia;11.11
O00179;C0749;P247;2024-06-24;2;0,31;App;11.11
O00180;C0384;P268;2025-04-14;5;0,4;Website;None
O00181;C0516;P288;2025-07-20;5;0,31;Website;12.12
O00182;C0318;P066;2025-07-10;2;0,39;Website;None
O00183;C0261;P130;2024-10-03;4;0,06;Shopee;None
O00184;C0457;P139;2024-10-16;4;0,14;Website;12.12
O00185;C0805;P203;2024-10-24;4;0,37;Website;11.11
O00186;C0818;P070;2025-08-17;4;0,19;Tokopedia;11.11
O00187;C0923;P001;2024-12-17;2;0,16;Shopee;11.11
O00188;C0519;P049;2024-04-28;2;0,18;Website;None
O00189;C0818;P051;2024-09-08;2;0,22;Tokopedia;None
O00190;C0429;P138;2025-08-13;1;0,34;Website;None
O00191;C0875;P281;2024-07-03;1;0,31;Tokopedia;12.12
O00192;C0756;P057;2024-09-21;2;0,04;App;None
O00193;C0391;P273;2025-03-26;2;0,23;Website;12.12
O00194;C0132;P065;2025-12-08;1;0,06;Shopee;12.12
O00195;C0724;P024;2025-05-10;5;0,33;Shopee;None
O00196;C0612;P157;2024-02-25;3;0,21;App;Ramadhan
O00197;C0097;P049;2025-01-24;3;0,25;App;Ramadhan
O00198;C0575;P056;2024-04-11;2;0,2;Shopee;Ramadhan
O00199;C0674;P161;2024-05-14;1;0;Tokopedia;11.11
O00200;C0291;P122;2024-11-18;1;0,18;Website;None
O00201;C0246;P271;2024-03-30;5;0,22;App;11.11
O00202;C0894;P078;2024-04-12;3;0,06;Tokopedia;11.11
O00203;C0768;P243;2025-02-24;4;0,05;App;Ramadhan
O00204;C0833;P287;2024-06-09;4;0,32;Shopee;12.12
O00205;C0231;P157;2024-01-22;3;0,05;Shopee;Ramadhan
O00206;C0231;P034;2024-10-25;5;0,34;Shopee;None
O00207;C0488;P132;2025-10-11;5;0,11;App;Ramadhan
O00208;C0100;P222;2025-06-26;1;0,36;Shopee;Ramadhan
O00209;C0409;P096;2025-08-30;2;0,23;Website;11.11
O00210;C0249;P231;2024-05-16;2;0,2;Shopee;Ramadhan
O00211;C0009;P172;2024-09-07;4;0,21;Website;11.11
O00212;C0583;P089;2024-04-26;5;0,37;Shopee;12.12
O00213;C0651;P087;2024-10-31;1;0,08;App;11.11
O00214;C0906;P181;2025-06-15;4;0,25;Website;None
O00215;C0055;P061;2025-10-07;5;0,28;Website;None
O00216;C0448;P056;2025-12-29;2;0,19;App;12.12
O00217;C0084;P049;2025-02-22;3;0,26;Shopee;None
O00218;C0734;P283;2024-12-01;1;0,12;Shopee;None
O00219;C0103;P156;2024-07-29;5;0,07;Shopee;None
O00220;C0591;P149;2025-06-18;1;0,39;Shopee;None
O00221;C0805;P262;2024-03-10;3;0,08;Tokopedia;None
O00222;C0839;P274;2025-11-15;2;0,22;Shopee;12.12
O00223;C0723;P280;2025-03-22;4;0,16;Shopee;Ramadhan
O00224;C0033;P023;2024-04-17;3;0,06;Tokopedia;12.12
O00225;C0130;P197;2024-03-09;5;0,33;Shopee;12.12
O00226;C0366;P192;2024-09-16;4;0,3;App;None
O00227;C0311;P248;2025-09-16;4;0,37;Website;12.12
O00228;C0047;P120;2024-08-17;1;0,08;Website;None
O00229;C0677;P114;2025-07-03;3;0,27;App;12.12
O00230;C0648;P235;2024-03-20;1;0,3;App;11.11
O00231;C0232;P205;2024-07-04;1;0,01;Shopee;Ramadhan
O00232;C0163;P163;2025-10-22;4;0,3;Website;12.12
O00233;C0762;P251;2025-01-30;3;0,13;Shopee;Ramadhan
O00234;C0692;P089;2024-11-14;1;0,16;App;Ramadhan
O00235;C0552;P092;2024-03-03;5;0,18;Shopee;12.12
O00236;C0150;P294;2025-09-16;1;0,11;Website;12.12
O00237;C0899;P241;2025-04-23;4;0,27;Shopee;11.11
O00238;C0474;P101;2025-01-25;5;0,33;Shopee;None
O00239;C0307;P062;2024-04-16;4;0,14;Shopee;11.11
O00240;C0295;P253;2024-08-23;2;0,32;Website;11.11
O00241;C0061;P125;2024-05-11;1;0,06;App;None
O00242;C0155;P087;2025-03-18;4;0,33;Website;11.11
O00243;C0486;P080;2024-06-14;4;0,14;Shopee;12.12
O00244;C0266;P034;2025-10-11;2;0,36;Tokopedia;Ramadhan
O00245;C0780;P183;2024-04-15;3;0,37;Shopee;Ramadhan
O00246;C0466;P209;2025-06-13;2;0,32;Shopee;Ramadhan
O00247;C0998;P047;2025-06-07;2;0,18;Tokopedia;11.11
O00248;C0291;P163;2025-12-06;5;0,39;Shopee;Ramadhan
O00249;C0838;P300;2024-06-15;1;0,36;Website;None
O00250;C0541;P033;2025-07-16;5;0,37;Tokopedia;None
O00251;C0366;P207;2024-01-24;2;0,19;Website;None
O00252;C0166;P260;2025-11-29;1;0,08;App;Ramadhan
O00253;C0805;P130;2024-12-01;2;0,07;Tokopedia;11.11
O00254;C0543;P058;2024-03-20;1;0,09;Website;11.11
O00255;C0049;P150;2025-12-03;4;0,13;App;11.11
O00256;C0035;P124;2025-02-05;1;0,24;Website;Ramadhan
O00257;C0403;P156;2024-08-02;5;0,1;Tokopedia;12.12
O00258;C0676;P252;2024-08-28;5;0,11;App;Ramadhan
O00259;C0839;P027;2025-06-03;1;0,21;App;None
O00260;C0350;P051;2025-06-24;5;0,29;Website;11.11
O00261;C0521;P054;2025-07-05;2;0,16;App;12.12
O00262;C0548;P014;2025-06-07;1;0,18;App;12.12
O00263;C0725;P071;2025-07-05;5;0,25;Website;None
O00264;C0711;P050;2025-06-27;4;0,15;App;None
O00265;C0900;P291;2025-01-17;5;0,34;Website;None
O00266;C0896;P197;2024-03-09;3;0,17;Website;11.11
O00267;C0750;P131;2024-07-19;4;0,26;Tokopedia;Ramadhan
O00268;C0384;P020;2025-09-28;2;0,02;Website;Ramadhan
O00269;C0487;P133;2025-01-16;3;0,4;Tokopedia;Ramadhan
O00270;C0543;P030;2024-01-22;2;0,02;Shopee;None
O00271;C0693;P162;2025-11-22;4;0,31;App;11.11
O00272;C0447;P166;2025-04-15;2;0,25;App;Ramadhan
O00273;C0666;P224;2024-02-15;4;0,09;App;Ramadhan
O00274;C0670;P247;2024-05-08;2;0,18;Tokopedia;12.12
O00275;C0757;P024;2025-03-26;2;0,04;Shopee;11.11
O00276;C0955;P048;2024-03-16;3;0,29;Tokopedia;12.12
O00277;C0526;P159;2025-05-14;2;0,01;App;None
O00278;C0591;P064;2024-09-17;4;0,31;Tokopedia;Ramadhan
O00279;C0214;P163;2024-03-13;5;0,27;Website;12.12
O00280;C0942;P071;2024-01-30;2;0,38;Shopee;None
O00281;C0522;P019;2025-10-07;4;0,14;Shopee;12.12
O00282;C0165;P268;2024-04-04;1;0,13;Website;11.11
O00283;C0480;P158;2025-03-07;4;0,35;App;12.12
O00284;C0825;P250;2024-12-05;3;0,36;Tokopedia;12.12
O00285;C0604;P131;2024-11-01;4;0,21;Shopee;12.12
O00286;C0423;P184;2024-02-06;1;0,36;Tokopedia;Ramadhan
O00287;C0246;P281;2024-08-11;2;0,15;App;None
O00288;C0605;P033;2025-09-05;2;0,34;App;11.11
O00289;C0779;P094;2024-01-18;4;0,18;App;Ramadhan
O00290;C0012;P288;2025-12-12;4;0,29;Shopee;None
O00291;C0584;P087;2025-11-27;4;0,02;Shopee;None
O00292;C0991;P095;2024-12-04;4;0,2;App;Ramadhan
O00293;C0993;P108;2024-04-07;4;0,3;App;Ramadhan
O00294;C0912;P065;2025-07-12;4;0,3;Website;Ramadhan
O00295;C0631;P125;2025-04-02;1;0,2;Shopee;12.12
O00296;C0787;P151;2024-06-28;5;0,35;Website;None
O00297;C0180;P082;2025-08-15;4;0,25;Website;None
O00298;C0249;P106;2024-12-06;4;0,28;App;11.11
O00299;C0102;P251;2024-04-30;4;0,29;App;None
O00300;C0231;P045;2024-10-12;2;0,35;Shopee;11.11
O00301;C0012;P079;2024-11-06;5;0,29;Shopee;11.11
O00302;C0594;P239;2025-09-11;4;0,17;Website;Ramadhan
O00303;C0687;P051;2024-07-11;1;0,16;Website;Ramadhan
O00304;C0733;P060;2025-12-12;5;0,09;Website;12.12
O00305;C0402;P255;2025-10-17;3;0,15;App;Ramadhan
O00306;C0849;P227;2024-04-15;4;0,29;Website;11.11
O00307;C0496;P014;2024-06-29;1;0,04;Tokopedia;Ramadhan
O00308;C0959;P113;2024-09-03;2;0,09;Shopee;12.12
O00309;C0714;P024;2025-11-28;3;0,13;App;11.11
O00310;C0138;P140;2024-06-16;4;0,13;Website;None
O00311;C0818;P143;2024-09-19;4;0,1;Tokopedia;Ramadhan
O00312;C0304;P243;2024-02-05;3;0,15;Tokopedia;None
O00313;C0829;P028;2024-11-28;1;0,21;Shopee;Ramadhan
O00314;C0771;P234;2024-06-29;4;0,28;App;Ramadhan
O00315;C0504;P115;2025-02-04;5;0,15;App;12.12
O00316;C0663;P140;2024-06-11;4;0,28;App;11.11
O00317;C0036;P060;2024-07-11;1;0,35;Tokopedia;11.11
O00318;C0427;P114;2025-05-04;2;0,19;Shopee;None
O00319;C0686;P074;2025-09-15;2;0,15;Shopee;12.12
O00320;C0702;P023;2024-08-31;2;0,34;Website;None
O00321;C0178;P208;2025-05-15;4;0,37;App;Ramadhan
O00322;C0926;P278;2024-05-28;3;0,4;Tokopedia;11.11
O00323;C0264;P098;2025-02-05;3;0,3;Shopee;Ramadhan
O00324;C0762;P147;2024-01-21;4;0,29;Tokopedia;11.11
O00325;C0628;P142;2024-01-31;3;0,07;App;12.12
O00326;C0661;P300;2025-07-16;1;0,22;App;11.11
O00327;C0264;P063;2024-01-22;4;0,12;App;12.12
O00328;C0590;P248;2025-06-30;5;0,08;Shopee;11.11
O00329;C0416;P216;2024-01-02;1;0,3;Tokopedia;None
O00330;C0659;P171;2025-08-14;3;0,23;App;12.12
O00331;C0915;P250;2025-11-12;4;0,24;Shopee;None
O00332;C0454;P243;2025-11-02;5;0,04;Shopee;11.11
O00333;C0286;P171;2024-08-28;5;0,01;Website;11.11
O00334;C0023;P179;2024-03-25;3;0,07;Shopee;None
O00335;C0230;P080;2025-06-25;1;0,33;Website;11.11
O00336;C0442;P115;2024-04-05;1;0,01;Website;None
O00337;C0725;P122;2024-08-11;2;0,07;App;11.11
O00338;C0847;P161;2025-01-24;2;0,17;App;11.11
O00339;C0678;P108;2024-12-06;1;0,24;Website;11.11
O00340;C0369;P024;2025-06-09;3;0,03;Shopee;Ramadhan
O00341;C0557;P006;2024-01-26;2;0,09;Shopee;Ramadhan
O00342;C0858;P195;2024-04-21;2;0,19;Website;Ramadhan
O00343;C0151;P110;2024-11-16;4;0,18;Shopee;None
O00344;C0635;P131;2025-06-11;3;0,17;Website;12.12
O00345;C0694;P269;2025-04-19;4;0,35;Shopee;None
O00346;C0143;P261;2025-12-26;2;0,3;Tokopedia;11.11
O00347;C0011;P183;2024-01-15;1;0,04;Website;11.11
O00348;C0390;P113;2024-01-31;2;0,37;Website;None
O00349;C0996;P022;2024-08-27;3;0,13;App;12.12
O00350;C0077;P006;2024-07-21;4;0,33;App;11.11
O00351;C0730;P123;2024-08-02;1;0,03;App;Ramadhan
O00352;C0781;P003;2024-12-28;2;0,12;Shopee;12.12
O00353;C0884;P165;2024-11-06;2;0,33;App;Ramadhan
O00354;C0610;P177;2025-03-16;4;0,36;Website;Ramadhan
O00355;C0853;P152;2025-04-22;3;0,37;Website;None
O00356;C0186;P176;2025-07-21;5;0,26;Tokopedia;12.12
O00357;C0120;P182;2024-03-18;2;0,1;App;12.12
O00358;C0274;P063;2024-06-20;3;0,05;Tokopedia;Ramadhan
O00359;C0485;P105;2025-06-02;3;0,3;Tokopedia;12.12
O00360;C0845;P034;2024-05-23;5;0,07;Website;None
O00361;C0460;P264;2025-04-12;1;0,34;App;12.12
O00362;C0668;P122;2024-07-27;1;0,32;Shopee;11.11
O00363;C0573;P129;2025-04-12;3;0,05;Shopee;Ramadhan
O00364;C0365;P205;2025-06-01;4;0,28;Website;None
O00365;C0784;P041;2025-11-06;2;0,01;Tokopedia;12.12
O00366;C0703;P238;2024-03-10;1;0,12;Shopee;12.12
O00367;C0828;P131;2025-04-02;4;0,09;App;None
O00368;C0993;P189;2025-08-30;4;0,21;Tokopedia;12.12
O00369;C0097;P155;2024-01-21;1;0,09;Tokopedia;None
O00370;C0880;P178;2024-05-03;2;0,07;Shopee;12.12
O00371;C0169;P206;2024-02-27;5;0,21;App;None
O00372;C0372;P189;2024-03-31;3;0,3;Tokopedia;12.12
O00373;C0012;P029;2025-02-13;1;0,35;Website;12.12
O00374;C0051;P003;2025-05-31;3;0,32;Website;Ramadhan
O00375;C0287;P290;2024-03-02;2;0,2;Tokopedia;11.11
O00376;C0280;P288;2025-11-15;4;0,28;App;Ramadhan
O00377;C0594;P237;2024-06-27;3;0,36;Tokopedia;None
O00378;C0983;P254;2024-12-16;5;0,03;Website;12.12
O00379;C0633;P099;2025-02-20;4;0,09;Tokopedia;11.11
O00380;C0626;P016;2025-05-20;1;0,18;Website;11.11
O00381;C0748;P045;2024-07-26;5;0,09;Tokopedia;11.11
O00382;C0814;P075;2024-10-26;2;0,28;Tokopedia;None
O00383;C0171;P105;2025-03-01;5;0,35;Website;Ramadhan
O00384;C0426;P271;2024-01-03;1;0,1;Tokopedia;12.12
O00385;C0603;P117;2025-11-25;4;0,06;App;12.12
O00386;C0511;P203;2024-12-18;5;0,13;App;11.11
O00387;C0557;P008;2024-12-03;4;0,1;App;Ramadhan
O00388;C0368;P216;2025-12-09;4;0,34;Shopee;11.11
O00389;C0835;P080;2024-05-21;1;0,14;Shopee;Ramadhan
O00390;C0230;P052;2025-12-27;2;0,11;Website;None
O00391;C0040;P112;2025-05-01;5;0,11;App;None
O00392;C0014;P254;2025-03-02;2;0,36;App;Ramadhan
O00393;C0953;P125;2024-08-31;1;0,03;Website;11.11
O00394;C0100;P152;2024-02-07;5;0,15;Shopee;None
O00395;C0750;P110;2025-05-08;4;0,27;Tokopedia;Ramadhan
O00396;C0531;P047;2025-10-18;1;0,34;Shopee;Ramadhan
O00397;C0066;P108;2024-10-09;5;0,17;Tokopedia;11.11
O00398;C0974;P126;2024-11-12;4;0,37;Website;Ramadhan
O00399;C0555;P048;2025-05-07;2;0,16;Website;12.12
O00400;C0242;P284;2024-12-22;4;0,29;Tokopedia;11.11
O00401;C0027;P256;2025-01-05;3;0,39;Website;12.12
O00402;C0257;P091;2025-08-01;5;0,37;Shopee;Ramadhan
O00403;C0412;P248;2025-09-15;4;0,13;Shopee;None
O00404;C0221;P190;2024-11-24;4;0,15;Tokopedia;None
O00405;C0825;P254;2025-08-01;1;0,34;App;12.12
O00406;C0511;P199;2025-05-27;4;0,35;Website;11.11
O00407;C0818;P137;2024-10-02;1;0,11;App;None
O00408;C0618;P167;2025-09-21;4;0,19;App;11.11
O00409;C0928;P049;2025-02-27;3;0,37;Shopee;11.11
O00410;C0249;P201;2025-05-21;3;0,04;Shopee;12.12
O00411;C0895;P273;2025-02-22;5;0,21;Tokopedia;Ramadhan
O00412;C0619;P133;2025-08-04;3;0,28;Tokopedia;12.12
O00413;C0405;P060;2024-03-20;3;0,17;Tokopedia;12.12
O00414;C0106;P154;2025-05-22;2;0,08;Website;11.11
O00415;C0897;P118;2025-07-30;3;0,15;Shopee;None
O00416;C0357;P008;2024-05-30;1;0,24;Tokopedia;11.11
O00417;C0155;P128;2024-06-23;5;0,26;Shopee;None
O00418;C0556;P251;2025-02-15;4;0,24;App;Ramadhan
O00419;C0869;P028;2025-05-24;5;0,38;Website;Ramadhan
O00420;C0479;P097;2025-09-16;5;0,35;App;Ramadhan
O00421;C0870;P073;2025-09-16;1;0,19;App;Ramadhan
O00422;C0548;P272;2025-11-20;2;0,37;Shopee;11.11
O00423;C0951;P221;2025-08-25;3;0,12;App;None
O00424;C0245;P285;2025-07-09;5;0,26;App;None
O00425;C0948;P001;2025-07-22;2;0,27;Tokopedia;11.11
O00426;C0515;P139;2025-03-30;2;0,04;App;12.12
O00427;C0808;P103;2024-07-18;4;0,01;Website;Ramadhan
O00428;C0987;P043;2025-05-28;1;0,34;Shopee;None
O00429;C0148;P110;2025-10-30;2;0,25;Shopee;11.11
O00430;C0895;P237;2025-04-15;2;0,22;App;Ramadhan
O00431;C0497;P225;2024-02-13;4;0,03;App;None
