Order_ID;Courier;Shipping_Days;Status
O00182;J&T;9;Delivered
O00183;J&T;2;Delivered
O00184;SiCepat;5;Delivered
O00185;SiCepat;10;Delivered
O00186;AnterAja;3;Delivered
O00187;SiCepat;1;Delivered
O00188;AnterAja;10;Delivered
O00189;JNE;2;Delivered
O00190;J&T;6;Delivered
O00191;SiCepat;2;Delivered
O00192;JNE;1;Delivered
O00193;J&T;6;Delivered
O00194;JNE;9;Delivered
O00195;JNE;1;Delivered
O00196;SiCepat;4;Delivered
O00197;AnterAja;3;Delivered
O00198;J&T;4;Delivered
O00199;SiCepat;5;Delivered
O00200;SiCepat;7;Delivered
O00201;SiCepat;5;Delivered
O00202;AnterAja;9;Delivered
O00203;AnterAja;4;Delivered
O00204;J&T;10;Delivered
O00205;J&T;5;Delivered
O00206;J&T;7;Delivered
O00207;SiCepat;5;Delivered
O00208;JNE;5;Delivered
O00209;J&T;5;Delivered
O00210;JNE;2;Delivered
O00211;J&T;2;Delivered
O00212;SiCepat;1;Delivered
O00213;SiCepat;1;Delivered
O00214;JNE;1;Delivered
O00215;SiCepat;1;Delivered
O00216;J&T;1;Delivered
O00217;AnterAja;7;Delivered
O00218;AnterAja;2;Delivered
O00219;JNE;6;Delivered
O00220;J&T;4;Delivered
O00221;SiCepat;5;Delivered
O00222;JNE;1;Delivered
O00223;JNE;8;Delivered
O00224;SiCepat;3;Delivered
O00225;JNE;6;Delivered
O00226;JNE;2;Delivered
O00227;SiCepat;8;Delivered
O00228;JNE;9;Delivered
O00229;JNE;1;Delivered
O00230;SiCepat;9;Cancelled
O00231;AnterAja;3;Delivered
O00232;J&T;10;Late
O00233;J&T;2;Delivered
O00234;J&T;4;Delivered
O00235;J&T;2;Delivered
O00236;SiCepat;10;Delivered
O00237;SiCepat;3;Delivered
O00238;JNE;2;Delivered
O00239;AnterAja;1;Delivered
O00240;J&T;1;Delivered
O00241;JNE;4;Delivered
O00242;JNE;3;Delivered
O00243;SiCepat;3;Delivered
O00244;J&T;10;Delivered
O00245;J&T;10;Delivered
O00246;JNE;4;Cancelled
O00247;SiCepat;8;Delivered
O00248;AnterAja;4;Returned
O00249;J&T;2;Delivered
O00250;SiCepat;1;Delivered
O00251;JNE;3;Delivered
O00252;SiCepat;4;Delivered
O00253;J&T;9;Delivered
O00254;AnterAja;3;Delivered
O00255;J&T;9;Delivered
O00256;JNE;5;Delivered
O00257;J&T;2;Delivered
O00258;JNE;3;Late
O00259;AnterAja;8;Delivered
O00260;SiCepat;2;Delivered
O00261;AnterAja;6;Delivered
O00262;JNE;8;Cancelled
O00263;AnterAja;10;Delivered
O00264;SiCepat;1;Late
O00265;J&T;3;Cancelled
O00266;J&T;7;Delivered
O00267;JNE;3;Delivered
O00268;J&T;7;Delivered
O00269;AnterAja;10;Delivered
O00270;J&T;8;Late
O00271;SiCepat;8;Delivered
O00272;JNE;5;Delivered
O00273;J&T;3;Delivered
O00274;J&T;4;Delivered
O00275;JNE;1;Returned
O00276;AnterAja;9;Delivered
O00277;SiCepat;8;Delivered
O00278;AnterAja;8;Delivered
O00279;SiCepat;8;Returned
O00280;SiCepat;9;Delivered
O00281;JNE;4;Delivered
O00282;SiCepat;9;Delivered
O00283;J&T;1;Delivered
O00284;SiCepat;9;Delivered
O00285;JNE;5;Returned
O00286;J&T;2;Returned
O00287;J&T;10;Delivered
O00288;AnterAja;9;Late
O00289;AnterAja;8;Returned
O00290;AnterAja;8;Delivered
O00291;SiCepat;8;Delivered
O00292;JNE;4;Delivered
O00293;AnterAja;9;Delivered
O00294;SiCepat;6;Delivered
O00295;SiCepat;1;Delivered
O00296;SiCepat;8;Delivered
O00297;J&T;5;Cancelled
O00298;AnterAja;10;Delivered
O00299;SiCepat;2;Delivered
O00300;JNE;10;Delivered
O00301;JNE;3;Delivered
O00302;AnterAja;4;Returned
O00303;JNE;9;Delivered
O00304;JNE;1;Returned
O00305;SiCepat;1;Delivered
O00306;J&T;9;Delivered
O00307;JNE;4;Delivered
O00308;AnterAja;7;Delivered
O00309;J&T;10;Delivered
O00310;SiCepat;4;Delivered
O00311;J&T;8;Delivered
O00312;J&T;3;Delivered
O00313;JNE;1;Delivered
O00314;JNE;9;Returned
O00315;AnterAja;1;Delivered
O00316;J&T;1;Delivered
O00317;JNE;2;Delivered
O00318;J&T;6;Delivered
O00319;SiCepat;10;Cancelled
O00320;AnterAja;2;Cancelled
O00321;AnterAja;3;Delivered
O00322;J&T;10;Cancelled
O00323;AnterAja;5;Delivered
O00324;AnterAja;1;Delivered
O00325;J&T;8;Late
O00326;JNE;2;Delivered
O00327;SiCepat;2;Delivered
O00328;AnterAja;3;Delivered
O00329;J&T;2;Delivered
O00330;AnterAja;6;Delivered
O00331;JNE;3;Delivered
O00332;SiCepat;4;Returned
O00333;J&T;8;Delivered
O00334;JNE;5;Delivered
O00335;JNE;6;Delivered
O00336;SiCepat;4;Delivered
O00337;AnterAja;1;Delivered
O00338;AnterAja;1;Cancelled
O00339;J&T;4;Delivered
O00340;AnterAja;9;Delivered
O00341;AnterAja;8;Delivered
O00342;J&T;3;Delivered
O00343;AnterAja;3;Delivered
O00344;JNE;3;Delivered
O00345;AnterAja;3;Delivered
O00346;AnterAja;10;Delivered
O00347;J&T;4;Delivered
O00348;AnterAja;8;Delivered
O00349;JNE;3;Late
O00350;J&T;6;Delivered
O00351;AnterAja;4;Returned
O00352;J&T;10;Delivered
O00353;JNE;9;Late
O00354;JNE;8;Delivered
O00355;JNE;1;Delivered
O00356;JNE;6;Returned
O00357;AnterAja;6;Delivered
O00358;JNE;2;Delivered
O00359;SiCepat;7;Delivered
O00360;SiCepat;1;Delivered
O00361;AnterAja;10;Delivered
O00362;SiCepat;4;Delivered
O00363;SiCepat;6;Late
O00364;AnterAja;1;Delivered
O00365;AnterAja;3;Delivered
O00366;AnterAja;8;Delivered
O00367;SiCepat;8;Delivered
O00368;J&T;4;Delivered
O00369;JNE;1;Delivered
O00370;AnterAja;3;Delivered
O00371;JNE;10;Delivered
O00372;J&T;8;Late
O00373;JNE;8;Delivered
O00374;AnterAja;10;Delivered
O00375;J&T;3;Delivered
O00376;JNE;1;Delivered
O00377;JNE;4;Delivered
O00378;AnterAja;9;Delivered
O00379;JNE;4;Delivered
O00380;J&T;4;Delivered
O00381;J&T;2;Delivered
O00382;JNE;1;Delivered
O00383;JNE;8;Delivered
O00384;SiCepat;9;Delivered
O00385;AnterAja;10;Delivered
O00386;JNE;6;Delivered
O00387;SiCepat;2;Delivered
O00388;J&T;3;Delivered
O00389;SiCepat;5;Delivered
O00390;SiCepat;1;Delivered
O00391;SiCepat;4;Delivered
O00392;J&T;4;Late
O00393;JNE;8;Delivered
O00394;JNE;7;Delivered
O00395;J&T;9;Delivered
O00396;AnterAja;6;Delivered
O00397;AnterAja;7;Delivered
O00398;SiCepat;5;Delivered
O00399;AnterAja;8;Delivered
O00400;AnterAja;6;Delivered
O00401;AnterAja;6;Delivered
O00402;JNE;10;Delivered
O00403;AnterAja;4;Delivered
O00404;SiCepat;7;Delivered
O00405;JNE;7;Delivered
O00406;J&T;10;Delivered
O00407;AnterAja;3;Delivered
O00408;JNE;9;Returned
O00409;SiCepat;2;Delivered
O00410;AnterAja;2;Delivered
O00411;AnterAja;4;Delivered
O00412;SiCepat;8;Delivered
O00413;J&T;4;Delivered
O00414;J&T;8;Delivered
O00415;AnterAja;6;Delivered
O00416;AnterAja;4;Delivered
O00417;JNE;1;Delivered
O00418;SiCepat;9;Delivered
O00419;JNE;9;Delivered
O00420;JNE;6;Delivered
O00421;AnterAja;6;Delivered
O00422;SiCepat;1;Late
O00423;SiCepat;4;Delivered
O00424;J&T;9;Delivered
O00425;AnterAja;6;Delivered
O00426;AnterAja;7;Delivered
O00427;AnterAja;5;Delivered
O00428;SiCepat;7;Delivered
O00429;AnterAja;9;Cancelled
O00430;SiCepat;7;Delivered
O00431;AnterAja;1;Cancelled
O00432;SiCepat;5;Delivered
O00433;J&T;1;Delivered
O00434;J&T;9;Delivered
O00435;J&T;7;Delivered
O00436;J&T;1;Delivered
O00437;SiCepat;3;Delivered
O00438;SiCepat;5;Delivered
O00439;SiCepat;10;Delivered
O00440;J&T;6;Returned
O00441;AnterAja;8;Late
O00442;AnterAja;6;Delivered
O00443;AnterAja;1;Delivered
O00444;J&T;9;Late
O00445;JNE;8;Delivered
O00446;AnterAja;6;Delivered
O00447;J&T;10;Delivered
O00448;SiCepat;7;Delivered
O00449;AnterAja;9;Delivered
O00450;SiCepat;8;Delivered
O00451;AnterAja;5;Late
O00452;JNE;6;Delivered
O00453;JNE;4;Delivered
O00454;J&T;10;Delivered
O00455;J&T;7;Delivered
O00456;J&T;4;Delivered
O00457;J&T;9;Late
O00458;AnterAja;5;Cancelled
O00459;J&T;5;Late
O00460;J&T;8;Delivered
O00461;JNE;1;Delivered
O00462;SiCepat;1;Delivered
O00463;SiCepat;7;Late
O00464;AnterAja;6;Delivered
O00465;AnterAja;9;Delivered
O00466;AnterAja;4;Delivered
O00467;SiCepat;1;Delivered
O00468;J&T;6;Delivered
O00469;JNE;9;Late
O00470;AnterAja;9;Cancelled
O00471;SiCepat;7;Delivered
O00472;J&T;9;Delivered
O00473;AnterAja;1;Returned
O00474;J&T;9;Delivered
O00475;SiCepat;2;Delivered
O00476;AnterAja;10;Delivered
O00477;J&T;6;Delivered
O00478;JNE;2;Delivered
O00479;AnterAja;1;Returned
O00480;JNE;2;Delivered
O00481;JNE;9;Delivered
O00482;SiCepat;5;Delivered
O00483;AnterAja;3;Delivered
O00484;AnterAja;10;Delivered
O00485;J&T;6;Late
O00486;J&T;6;Delivered
O00487;J&T;7;Delivered
O00488;JNE;4;Delivered
O00489;AnterAja;10;Delivered
O00490;JNE;1;Delivered
O00491;JNE;3;Delivered
O00492;JNE;10;Delivered
O00493;SiCepat;9;Delivered
O00494;SiCepat;10;Delivered
O00495;SiCepat;9;Delivered
O00496;JNE;9;Delivered
O00497;AnterAja;7;Late
O00498;J&T;3;Delivered
O00499;SiCepat;8;Delivered
O00500;JNE;2;Delivered
O00501;SiCepat;4;Delivered
O00502;AnterAja;4;Delivered
O00503;SiCepat;4;Delivered
O00504;SiCepat;2;Delivered
O00505;JNE;7;Delivered
O00506;SiCepat;2;Delivered
O00507;JNE;7;Delivered
O00508;JNE;3;Delivered
O00509;SiCepat;1;Delivered
O00510;JNE;10;Cancelled
O00511;AnterAja;5;Delivered
O00512;JNE;6;Late
O00513;J&T;6;Delivered
O00514;J&T;8;Cancelled
O00515;SiCepat;10;Delivered
O00516;AnterAja;4;Delivered
O00517;AnterAja;5;Delivered
O00518;J&T;4;Delivered
O00519;JNE;2;Delivered
O00520;AnterAja;8;Delivered
O00521;AnterAja;8;Delivered
O00522;J&T;7;Delivered
O00523;J&T;2;Delivered
O00524;SiCepat;1;Delivered
O00525;JNE;6;Cancelled
O00526;SiCepat;4;Returned
O00527;JNE;4;Delivered
O00528;SiCepat;2;Delivered
O00529;AnterAja;2;Returned
O00530;JNE;5;Late
O00531;AnterAja;4;Late
O00532;AnterAja;1;Delivered
O00533;J&T;2;Late
O00534;J&T;1;Delivered
O00535;AnterAja;5;Delivered
O00536;J&T;1;Delivered
O00537;AnterAja;6;Delivered
O00538;JNE;4;Delivered
O00539;SiCepat;4;Late
O00540;AnterAja;4;Delivered
O00541;JNE;2;Delivered
O00542;AnterAja;8;Delivered
O00543;AnterAja;4;Delivered
O00544;AnterAja;6;Delivered
O00545;J&T;1;Delivered
O00546;JNE;1;Delivered
O00547;J&T;6;Delivered
O00548;AnterAja;3;Delivered
O00549;AnterAja;3;Delivered
O00550;J&T;5;Delivered
O00551;JNE;2;Delivered
O00552;JNE;1;Delivered
O00553;J&T;2;Delivered
O00554;J&T;4;Delivered
O00555;AnterAja;10;Cancelled
O00556;SiCepat;6;Delivered
O00557;AnterAja;4;Delivered
O00558;J&T;4;Delivered
O00559;JNE;6;Delivered
O00560;J&T;3;Delivered
O00561;JNE;5;Delivered
O00562;AnterAja;4;Delivered
O00563;AnterAja;6;Delivered
O00564;SiCepat;8;Delivered
O00565;SiCepat;9;Delivered
O00566;JNE;9;Delivered
O00567;JNE;1;Late
O00568;JNE;7;Delivered
O00569;AnterAja;1;Delivered
O00570;AnterAja;2;Late
O00571;SiCepat;2;Delivered
O00572;JNE;2;Delivered
O00573;JNE;4;Delivered
O00574;SiCepat;7;Delivered
O00575;AnterAja;7;Delivered
O00576;J&T;10;Delivered
O00577;AnterAja;9;Delivered
O00578;SiCepat;1;Delivered
O00579;SiCepat;4;Delivered
O00580;JNE;5;Delivered
O00581;AnterAja;7;Delivered
O00582;AnterAja;1;Delivered
O00583;JNE;5;Delivered
O00584;AnterAja;7;Delivered
O00585;JNE;6;Delivered
O00586;AnterAja;6;Delivered
O00587;J&T;5;Delivered
O00588;AnterAja;6;Delivered
O00589;J&T;4;Delivered
O00590;JNE;6;Delivered
O00591;JNE;6;Delivered
O00592;J&T;4;Delivered
O00593;J&T;3;Delivered
O00594;AnterAja;9;Delivered
O00595;JNE;1;Delivered
O00596;AnterAja;8;Delivered
O00597;SiCepat;9;Delivered
O00598;J&T;4;Delivered
O00599;AnterAja;8;Delivered
O00600;AnterAja;6;Late
O00601;JNE;8;Returned
O00602;J&T;6;Delivered
O00603;SiCepat;4;Returned
O00604;SiCepat;8;Delivered
O00605;JNE;10;Delivered
O00606;J&T;8;Delivered
O00607;JNE;6;Delivered
O00608;J&T;7;Delivered
O00609;SiCepat;2;Delivered
O00610;JNE;7;Delivered
O00611;AnterAja;1;Cancelled
O00612;SiCepat;3;Delivered
O00613;J&T;3;Late
O00614;AnterAja;1;Delivered
O00615;SiCepat;6;Delivered
O00616;SiCepat;6;Delivered
O00617;J&T;5;Delivered
O00618;JNE;10;Delivered
O00619;JNE;4;Late
O00620;AnterAja;5;Delivered
O00621;AnterAja;9;Delivered
O00622;SiCepat;2;Delivered
O00623;J&T;9;Delivered
O00624;JNE;9;Delivered
O00625;JNE;6;Delivered
O00626;AnterAja;7;Delivered
O00627;J&T;8;Delivered
O00628;J&T;7;Delivered
O00629;J&T;4;Delivered
O00630;J&T;2;Delivered
O00631;JNE;4;Delivered
O00632;SiCepat;1;Delivered
O00633;JNE;6;Delivered
O00634;J&T;7;Delivered
O00635;J&T;3;Late
O00636;JNE;6;Delivered
O00637;SiCepat;8;Cancelled
O00638;SiCepat;6;Returned
O00639;SiCepat;2;Returned
O00640;J&T;4;Delivered
O00641;SiCepat;7;Delivered
O00642;SiCepat;9;Returned
O00643;JNE;4;Delivered
O00644;JNE;3;Delivered
O00645;AnterAja;10;Delivered
O00646;J&T;8;Delivered
O00647;SiCepat;8;Delivered
O00648;SiCepat;10;Delivered
O00649;JNE;3;Delivered
O00650;J&T;4;Delivered
O00651;JNE;2;Delivered
O00652;AnterAja;3;Delivered
O00653;J&T;2;Delivered
O00654;SiCepat;10;Delivered
O00655;JNE;6;Delivered
O00656;JNE;4;Delivered
O00657;J&T;1;Delivered
O00658;JNE;8;Delivered
O00659;JNE;3;Delivered
O00660;SiCepat;1;Delivered
O00661;AnterAja;5;Delivered
O00662;AnterAja;5;Returned
O00663;J&T;9;Cancelled
O00664;AnterAja;6;Delivered
O00665;AnterAja;6;Delivered
O00666;JNE;4;Delivered
O00667;J&T;6;Late
O00668;JNE;4;Delivered
O00669;SiCepat;2;Delivered
O00670;SiCepat;1;Late
O00671;J&T;6;Delivered
O00672;SiCepat;10;Delivered
O00673;J&T;6;Delivered
O00674;SiCepat;3;Delivered
O00675;AnterAja;5;Delivered
O00676;AnterAja;1;Late
O00677;J&T;2;Delivered
O00678;J&T;8;Delivered
O00679;J&T;5;Late
O00680;SiCepat;2;Delivered
O00681;AnterAja;8;Delivered
O00682;AnterAja;7;Delivered
O00683;SiCepat;1;Delivered
O00684;JNE;6;Delivered
O00685;J&T;4;Cancelled
O00686;J&T;8;Delivered
O00687;AnterAja;5;Delivered
O00688;JNE;5;Late
O00689;AnterAja;2;Delivered
O00690;J&T;6;Delivered
O00691;AnterAja;9;Delivered
O00692;AnterAja;7;Delivered
O00693;J&T;1;Delivered
O00694;J&T;10;Delivered
O00695;SiCepat;2;Delivered
O00696;JNE;2;Delivered
O00697;AnterAja;7;Delivered
O00698;SiCepat;2;Delivered
O00699;JNE;10;Delivered
O00700;SiCepat;2;Delivered
O00701;JNE;6;Delivered
O00702;J&T;3;Delivered
O00703;SiCepat;7;Delivered
O00704;AnterAja;2;Delivered
O00705;SiCepat;10;Delivered
O00706;AnterAja;2;Delivered
O00707;J&T;7;Delivered
O00708;SiCepat;9;Delivered
O00709;JNE;4;Delivered
O00710;SiCepat;5;Delivered
O00711;J&T;4;Delivered
O00712;AnterAja;1;Delivered
O00713;J&T;8;Delivered
O00714;SiCepat;8;Delivered
O00715;JNE;9;Cancelled
O00716;AnterAja;7;Delivered
O00717;SiCepat;9;Late
O00718;J&T;10;Delivered
O00719;JNE;7;Returned
O00720;AnterAja;8;Delivered
O00721;AnterAja;7;Delivered
O00722;SiCepat;9;Late
O00723;AnterAja;9;Delivered
O00724;SiCepat;5;Cancelled
O00725;J&T;5;Delivered
O00726;SiCepat;7;Returned
O00727;SiCepat;7;Delivered
O00728;AnterAja;4;Delivered
O00729;AnterAja;8;Delivered
O00730;JNE;5;Delivered
O00731;JNE;6;Delivered
O00732;J&T;9;Delivered
O00733;J&T;4;Delivered
O00734;J&T;1;Delivered
O00735;AnterAja;3;Delivered
O00736;AnterAja;4;Delivered
O00737;J&T;6;Delivered
O00738;JNE;10;Delivered
O00739;AnterAja;2;Delivered
O00740;JNE;10;Delivered
O00741;JNE;3;Delivered
O00742;AnterAja;7;Delivered
O00743;SiCepat;7;Delivered
O00744;J&T;6;Late
O00745;SiCepat;5;Delivered
O00746;J&T;8;Delivered
O00747;J&T;4;Delivered
O00748;JNE;3;Late
O00749;J&T;9;Delivered
O00750;J&T;6;Late
O00751;SiCepat;1;Cancelled
O00752;JNE;6;Delivered
O00753;SiCepat;10;Delivered
O00754;AnterAja;6;Delivered
O00755;AnterAja;9;Delivered
O00756;SiCepat;8;Delivered
O00757;AnterAja;9;Cancelled
O00758;JNE;5;Delivered
O00759;AnterAja;10;Delivered
O00760;SiCepat;8;Delivered
O00761;SiCepat;5;Delivered
O00762;JNE;2;Delivered
O00763;AnterAja;1;Delivered
O00764;AnterAja;10;Delivered
O00765;JNE;8;Delivered
O00766;AnterAja;1;Late
O00767;J&T;5;Delivered
O00768;SiCepat;4;Cancelled
O00769;AnterAja;2;Delivered
O00770;AnterAja;6;Delivered
O00771;JNE;5;Delivered
O00772;AnterAja;8;Returned
O00773;AnterAja;5;Delivered
O00774;J&T;9;Cancelled
O00775;AnterAja;2;Delivered
O00776;J&T;6;Late
O00777;J&T;5;Delivered
O00778;AnterAja;3;Delivered
O00779;JNE;6;Delivered
O00780;SiCepat;10;Delivered
O00781;AnterAja;1;Delivered
O00782;AnterAja;1;Delivered
O00783;AnterAja;5;Delivered
O00784;AnterAja;5;Returned
O00785;AnterAja;6;Late
O00786;J&T;7;Delivered
O00787;AnterAja;8;Delivered
O00788;SiCepat;1;Delivered
O00789;JNE;8;Delivered
O00790;AnterAja;10;Delivered
O00791;JNE;6;Delivered
O00792;JNE;10;Delivered
O00793;JNE;10;Delivered
O00794;J&T;3;Cancelled
O00795;SiCepat;5;Delivered
O00796;SiCepat;3;Delivered
O00797;JNE;4;Cancelled
O00798;SiCepat;5;Delivered
O00799;JNE;9;Late
O00800;J&T;7;Delivered
O00801;J&T;9;Delivered
O00802;SiCepat;4;Delivered
O00803;J&T;9;Delivered
O00804;JNE;1;Cancelled
O00805;AnterAja;7;Delivered
O00806;J&T;3;Late
O00807;SiCepat;5;Delivered
O00808;JNE;10;Delivered
O00809;SiCepat;3;Delivered
O00810;JNE;9;Delivered
O00811;SiCepat;6;Delivered
O00812;SiCepat;2;Delivered
O00813;JNE;4;Delivered
O00814;SiCepat;6;Cancelled
O00815;AnterAja;5;Cancelled
O00816;AnterAja;6;Delivered
O00817;AnterAja;10;Delivered
O00818;AnterAja;5;Delivered
O00819;SiCepat;9;Delivered
O00820;JNE;4;Returned
O00821;AnterAja;10;Late
O00822;SiCepat;2;Delivered
O00823;SiCepat;5;Delivered
O00824;J&T;2;Delivered
O00825;JNE;2;Delivered
O00826;SiCepat;3;Delivered
O00827;JNE;10;Delivered
O00828;J&T;6;Delivered
O00829;SiCepat;7;Delivered
O00830;JNE;3;Delivered
O00831;J&T;9;Late
O00832;JNE;2;Delivered
O00833;J&T;9;Delivered
O00834;SiCepat;6;Late
O00835;J&T;2;Delivered
O00836;SiCepat;4;Delivered
O00837;AnterAja;8;Delivered
O00838;J&T;10;Delivered
O00839;AnterAja;9;Late
O00840;SiCepat;3;Delivered
O00841;AnterAja;8;Delivered
O00842;JNE;9;Delivered
O00843;JNE;7;Delivered
O00844;AnterAja;2;Delivered
O00845;JNE;5;Late
O00846;J&T;4;Delivered
O00847;AnterAja;8;Delivered
O00848;SiCepat;3;Delivered
O00849;J&T;3;Delivered
O00850;SiCepat;9;Delivered
O00851;J&T;2;Delivered
O00852;SiCepat;9;Delivered
O00853;SiCepat;4;Late
O00854;J&T;5;Delivered
O00855;SiCepat;9;Delivered
O00856;JNE;8;Delivered
O00857;AnterAja;5;Delivered
O00858;SiCepat;7;Delivered
O00859;JNE;8;Delivered
O00860;J&T;1;Delivered
O00861;JNE;3;Delivered
O00862;AnterAja;6;Delivered
O00863;AnterAja;1;Delivered
O00864;SiCepat;6;Delivered
O00865;SiCepat;1;Delivered
O00866;AnterAja;9;Delivered
O00867;AnterAja;8;Delivered
O00868;J&T;6;Delivered
O00869;AnterAja;7;Delivered
O00870;J&T;5;Delivered
O00871;JNE;1;Delivered
O00872;JNE;5;Delivered
O00873;SiCepat;6;Delivered
O00874;JNE;2;Delivered
O00875;SiCepat;2;Delivered
O00876;AnterAja;3;Delivered
O00877;SiCepat;3;Returned
O00878;JNE;5;Cancelled
O00879;J&T;5;Delivered
O00880;J&T;2;Delivered
