Customer_ID;Customer_Name;Gender;Age;City;Join_Date;Membership
C0055;Customer 55;Male;50;Medan;2024-05-06;Silver
C0056;Customer 56;Female;46;Surabaya;2023-04-20;Gold
C0057;Customer 57;Female;41;Surabaya;2024-03-30;Platinum
C0058;Customer 58;Male;20;Bandung;2024-02-21;Platinum
C0059;Customer 59;Male;59;Medan;2023-03-09;Gold
C0060;Customer 60;Female;28;Jakarta;2024-08-20;Platinum
C0061;Customer 61;Female;46;Medan;2024-10-15;Silver
C0062;Customer 62;Female;45;Bandung;2023-02-01;Gold
C0063;Customer 63;Female;49;Medan;2023-06-11;Gold
C0064;Customer 64;Female;60;Medan;2024-05-05;Silver
C0065;Customer 65;Male;32;Bandung;2023-10-16;Silver
C0066;Customer 66;Male;56;Semarang;2024-01-07;Gold
C0067;Customer 67;Female;20;Medan;2024-01-30;Gold
C0068;Customer 68;Male;37;Jakarta;2023-05-16;Silver
C0069;Customer 69;Female;41;Semarang;2024-08-07;Gold
C0070;Customer 70;Female;33;Semarang;2023-10-19;Silver
C0071;Customer 71;Female;20;Jakarta;2024-02-08;Silver
C0072;Customer 72;Male;58;Surabaya;2024-11-06;Platinum
C0073;Customer 73;Female;49;Jakarta;2023-03-21;Gold
C0074;Customer 74;Female;27;Medan;2024-11-18;Gold
C0075;Customer 75;Male;59;Medan;2024-02-14;Platinum
C0076;Customer 76;Male;51;Jakarta;2023-05-25;Silver
C0077;Customer 77;Male;42;Jakarta;2024-01-29;Platinum
C0078;Customer 78;Female;37;Jakarta;2023-03-30;Silver
C0079;Customer 79;Female;36;Medan;2024-11-07;Silver
C0080;Customer 80;Male;60;Semarang;2023-08-03;Silver
C0081;Customer 81;Male;47;Bandung;2023-09-06;Silver
C0082;Customer 82;Male;24;Medan;2023-05-02;Platinum
C0083;Customer 83;Male;19;Medan;2023-07-07;Gold
C0084;Customer 84;Female;42;Medan;2023-01-20;Silver
C0085;Customer 85;Female;33;Jakarta;2024-02-05;Silver
C0086;Customer 86;Female;33;Medan;2024-10-24;Platinum
C0087;Customer 87;Female;45;Semarang;2023-01-09;Silver
C0088;Customer 88;Female;55;Jakarta;2024-10-15;Platinum
C0089;Customer 89;Male;27;Surabaya;2023-06-29;Silver
C0090;Customer 90;Female;57;Surabaya;2024-08-23;Silver
C0091;Customer 91;Female;54;Surabaya;2024-01-02;Silver
C0092;Customer 92;Male;49;Surabaya;2023-04-16;Platinum
C0093;Customer 93;Male;44;Surabaya;2024-12-29;Gold
C0094;Customer 94;Male;24;Surabaya;2024-05-23;Platinum
C0095;Customer 95;Female;52;Medan;2024-08-10;Platinum
C0096;Customer 96;Male;37;Surabaya;2024-12-24;Platinum
C0097;Customer 97;Female;21;Surabaya;2023-11-25;Gold
C0098;Customer 98;Male;48;Jakarta;2023-05-24;Gold
C0099;Customer 99;Female;24;Medan;2023-09-24;Gold
C0100;Customer 100;Female;44;Medan;2023-06-24;Platinum
C0101;Customer 101;Female;58;Surabaya;2023-03-13;Gold
C0102;Customer 102;Male;35;Semarang;2023-08-25;Gold
C0103;Customer 103;Female;30;Jakarta;2024-01-27;Silver
C0104;Customer 104;Female;43;Medan;2024-04-07;Platinum
C0105;Customer 105;Male;47;Medan;2023-09-29;Platinum
C0106;Customer 106;Male;31;Jakarta;2023-12-03;Silver
C0107;Customer 107;Female;53;Bandung;2024-02-28;Silver
C0108;Customer 108;Male;53;Surabaya;2024-04-13;Gold
C0109;Customer 109;Male;35;Surabaya;2023-09-27;Platinum
C0110;Customer 110;Female;33;Surabaya;2023-10-13;Platinum
C0111;Customer 111;Male;55;Medan;2023-08-23;Gold
C0112;Customer 112;Female;48;Medan;2024-07-02;Platinum
C0113;Customer 113;Female;18;Medan;2023-09-16;Gold
C0114;Customer 114;Female;23;Medan;2023-07-03;Silver
C0115;Customer 115;Male;54;Bandung;2024-04-27;Platinum
C0116;Customer 116;Male;52;Semarang;2024-06-13;Platinum
C0117;Customer 117;Male;51;Bandung;2024-03-21;Platinum
C0118;Customer 118;Male;47;Bandung;2024-08-28;Gold
C0119;Customer 119;Female;52;Semarang;2023-11-21;Platinum
C0120;Customer 120;Female;22;Surabaya;2024-02-19;Silver
C0121;Customer 121;Male;47;Semarang;2024-03-17;Platinum
C0122;Customer 122;Female;36;Jakarta;2024-10-16;Platinum
C0123;Customer 123;Male;33;Medan;2023-01-16;Silver
C0124;Customer 124;Female;25;Jakarta;2024-01-24;Platinum
C0125;Customer 125;Female;29;Semarang;2024-03-12;Gold
C0126;Customer 126;Female;53;Semarang;2023-03-02;Gold
C0127;Customer 127;Male;60;Semarang;2024-06-03;Silver
C0128;Customer 128;Female;60;Jakarta;2023-03-12;Silver
C0129;Customer 129;Female;44;Surabaya;2024-07-25;Gold
C0130;Customer 130;Male;27;Semarang;2023-04-06;Gold
C0131;Customer 131;Female;47;Semarang;2024-06-15;Silver
C0132;Customer 132;Female;50;Medan;2024-11-09;Platinum
C0133;Customer 133;Female;44;Surabaya;2023-11-18;Gold
C0134;Customer 134;Male;45;Bandung;2024-09-04;Gold
C0135;Customer 135;Male;32;Semarang;2024-09-26;Platinum
C0136;Customer 136;Male;47;Jakarta;2024-12-09;Silver
C0137;Customer 137;Female;29;Medan;2024-09-25;Platinum
C0138;Customer 138;Female;54;Jakarta;2024-04-06;Gold
C0139;Customer 139;Female;24;Surabaya;2023-08-27;Platinum
C0140;Customer 140;Female;37;Jakarta;2024-04-21;Gold
C0141;Customer 141;Female;18;Bandung;2024-01-23;Silver
C0142;Customer 142;Female;39;Jakarta;2024-10-09;Platinum
C0143;Customer 143;Female;48;Bandung;2024-05-05;Silver
C0144;Customer 144;Female;36;Bandung;2023-08-28;Gold
C0145;Customer 145;Male;50;Bandung;2023-05-02;Silver
C0146;Customer 146;Female;53;Jakarta;2023-01-06;Gold
C0147;Customer 147;Female;32;Jakarta;2024-09-02;Gold
C0148;Customer 148;Male;40;Bandung;2023-05-21;Platinum
C0149;Customer 149;Female;18;Surabaya;2023-06-13;Silver
C0150;Customer 150;Female;46;Surabaya;2023-10-11;Platinum
C0151;Customer 151;Female;43;Semarang;2024-01-04;Platinum
C0152;Customer 152;Female;43;Jakarta;2023-11-06;Silver
C0153;Customer 153;Female;24;Medan;2024-06-16;Platinum
C0154;Customer 154;Female;49;Bandung;2024-09-09;Silver
C0155;Customer 155;Female;60;Medan;2024-07-25;Platinum
C0156;Customer 156;Male;25;Bandung;2023-09-05;Silver
C0157;Customer 157;Female;45;Jakarta;2024-08-20;Platinum
C0158;Customer 158;Female;42;Semarang;2024-03-14;Silver
C0159;Customer 159;Female;58;Bandung;2024-12-23;Silver
C0160;Customer 160;Female;51;Jakarta;2023-06-09;Platinum
C0161;Customer 161;Male;57;Surabaya;2023-04-12;Silver
C0162;Customer 162;Female;50;Jakarta;2023-12-25;Silver
C0163;Customer 163;Male;28;Bandung;2023-06-01;Silver
C0164;Customer 164;Male;44;Medan;2024-08-01;Platinum
C0165;Customer 165;Female;30;Bandung;2023-08-24;Silver
C0166;Customer 166;Male;50;Jakarta;2024-02-28;Silver
C0167;Customer 167;Male;27;Medan;2024-05-23;Gold
C0168;Customer 168;Male;44;Bandung;2023-12-14;Silver
C0169;Customer 169;Female;43;Surabaya;2023-09-05;Gold
C0170;Customer 170;Female;39;Semarang;2023-07-12;Platinum
C0171;Customer 171;Male;26;Semarang;2023-10-01;Platinum
C0172;Customer 172;Female;30;Bandung;2024-10-25;Silver
C0173;Customer 173;Male;42;Medan;2023-12-12;Platinum
C0174;Customer 174;Female;25;Surabaya;2024-06-25;Silver
C0175;Customer 175;Female;60;Medan;2023-07-26;Gold
C0176;Customer 176;Male;43;Semarang;2024-03-22;Silver
C0177;Customer 177;Female;30;Semarang;2024-08-26;Silver
C0178;Customer 178;Female;24;Medan;2024-02-07;Silver
C0179;Customer 179;Male;46;Surabaya;2023-08-17;Gold
C0180;Customer 180;Female;39;Bandung;2024-12-16;Silver
C0181;Customer 181;Female;22;Bandung;2023-11-14;Silver
C0182;Customer 182;Female;37;Semarang;2023-11-05;Silver
C0183;Customer 183;Male;20;Medan;2023-04-04;Gold
C0184;Customer 184;Female;50;Bandung;2024-05-06;Silver
C0185;Customer 185;Female;27;Surabaya;2024-04-25;Silver
C0186;Customer 186;Male;43;Jakarta;2023-04-28;Silver
C0187;Customer 187;Female;29;Jakarta;2024-08-29;Gold
C0188;Customer 188;Female;55;Jakarta;2024-02-16;Platinum
C0189;Customer 189;Male;44;Semarang;2023-04-30;Platinum
C0190;Customer 190;Male;29;Surabaya;2023-04-01;Gold
C0191;Customer 191;Male;52;Medan;2024-11-14;Silver
C0192;Customer 192;Female;59;Bandung;2023-12-25;Platinum
C0193;Customer 193;Female;51;Semarang;2024-10-24;Gold
C0194;Customer 194;Male;38;Surabaya;2024-03-19;Silver
C0195;Customer 195;Male;39;Medan;2023-06-05;Gold
C0196;Customer 196;Female;47;Medan;2024-03-26;Platinum
C0197;Customer 197;Male;46;Surabaya;2024-11-14;Gold
C0198;Customer 198;Male;45;Bandung;2024-05-27;Platinum
C0199;Customer 199;Male;21;Jakarta;2024-08-09;Silver
C0200;Customer 200;Male;32;Semarang;2023-06-16;Platinum
C0201;Customer 201;Female;45;Bandung;2023-05-30;Platinum
C0202;Customer 202;Female;40;Surabaya;2023-10-08;Silver
C0203;Customer 203;Female;54;Jakarta;2023-10-13;Platinum
C0204;Customer 204;Male;56;Jakarta;2024-11-27;Silver
C0205;Customer 205;Male;35;Medan;2023-12-19;Gold
C0206;Customer 206;Female;23;Bandung;2024-04-09;Platinum
C0207;Customer 207;Female;36;Jakarta;2024-07-18;Platinum
C0208;Customer 208;Male;60;Semarang;2024-12-14;Platinum
C0209;Customer 209;Male;60;Medan;2023-03-21;Gold
C0210;Customer 210;Female;31;Bandung;2024-02-08;Gold
C0211;Customer 211;Female;54;Semarang;2023-10-15;Platinum
C0212;Customer 212;Female;33;Medan;2024-12-26;Gold
C0213;Customer 213;Male;41;Bandung;2023-03-02;Gold
C0214;Customer 214;Male;41;Bandung;2023-08-18;Platinum
C0215;Customer 215;Female;21;Semarang;2024-01-10;Platinum
C0216;Customer 216;Female;33;Jakarta;2023-11-20;Platinum
C0217;Customer 217;Male;60;Surabaya;2024-04-15;Platinum
C0218;Customer 218;Male;50;Surabaya;2024-03-12;Platinum
C0219;Customer 219;Male;52;Semarang;2024-03-22;Gold
C0220;Customer 220;Female;48;Surabaya;2024-06-25;Platinum
C0221;Customer 221;Female;43;Jakarta;2023-08-10;Silver
C0222;Customer 222;Female;60;Jakarta;2024-04-22;Platinum
C0223;Customer 223;Male;26;Surabaya;2023-08-09;Silver
C0224;Customer 224;Female;44;Jakarta;2024-06-30;Platinum
C0225;Customer 225;Female;20;Bandung;2023-10-23;Gold
C0226;Customer 226;Male;55;Jakarta;2024-03-30;Gold
C0227;Customer 227;Female;46;Bandung;2024-12-14;Gold
C0228;Customer 228;Male;59;Jakarta;2024-05-31;Platinum
C0229;Customer 229;Male;50;Semarang;2023-03-29;Silver
C0230;Customer 230;Male;47;Surabaya;2024-08-12;Silver
C0231;Customer 231;Male;45;Jakarta;2023-08-09;Silver
C0232;Customer 232;Male;37;Bandung;2024-11-23;Platinum
C0233;Customer 233;Male;41;Medan;2024-02-21;Platinum
C0234;Customer 234;Female;42;Jakarta;2023-11-27;Silver
C0235;Customer 235;Female;19;Medan;2024-03-23;Platinum
C0236;Customer 236;Female;44;Bandung;2024-01-16;Gold
C0237;Customer 237;Female;37;Surabaya;2023-09-28;Platinum
C0238;Customer 238;Male;33;Medan;2024-04-21;Platinum
C0239;Customer 239;Male;18;Medan;2023-08-05;Silver
C0240;Customer 240;Female;57;Medan;2024-01-20;Gold
C0241;Customer 241;Female;57;Surabaya;2023-09-20;Platinum
C0242;Customer 242;Female;59;Semarang;2024-02-03;Platinum
C0243;Customer 243;Female;35;Medan;2024-08-14;Platinum
C0244;Customer 244;Female;47;Jakarta;2024-06-09;Silver
C0245;Customer 245;Male;49;Jakarta;2023-08-17;Platinum
C0246;Customer 246;Male;54;Jakarta;2023-09-08;Platinum
C0247;Customer 247;Male;55;Medan;2024-08-06;Silver
C0248;Customer 248;Female;19;Bandung;2023-09-29;Silver
C0249;Customer 249;Male;53;Medan;2023-05-10;Platinum
C0250;Customer 250;Female;55;Medan;2023-08-29;Silver
C0251;Customer 251;Female;20;Medan;2024-09-08;Platinum
C0252;Customer 252;Female;27;Surabaya;2023-03-12;Platinum
C0253;Customer 253;Female;59;Medan;2023-08-14;Gold
C0254;Customer 254;Male;45;Semarang;2024-07-05;Gold
C0255;Customer 255;Male;42;Surabaya;2023-07-07;Silver
C0256;Customer 256;Male;50;Medan;2024-11-25;Silver
C0257;Customer 257;Female;34;Surabaya;2023-10-25;Platinum
C0258;Customer 258;Female;32;Bandung;2023-12-06;Gold
C0259;Customer 259;Male;30;Medan;2023-02-15;Gold
C0260;Customer 260;Male;54;Semarang;2023-09-22;Silver
C0261;Customer 261;Male;33;Medan;2023-07-29;Platinum
C0262;Customer 262;Male;52;Medan;2023-12-24;Gold
C0263;Customer 263;Male;30;Bandung;2024-08-08;Gold
C0264;Customer 264;Female;22;Medan;2024-10-22;Platinum
C0265;Customer 265;Male;55;Bandung;2024-04-02;Gold
C0266;Customer 266;Female;25;Bandung;2024-01-11;Silver
C0267;Customer 267;Female;44;Bandung;2023-08-30;Platinum
C0268;Customer 268;Male;30;Jakarta;2023-05-28;Silver
C0269;Customer 269;Male;44;Jakarta;2024-04-01;Silver
C0270;Customer 270;Male;55;Jakarta;2024-05-04;Platinum
C0271;Customer 271;Male;52;Bandung;2024-12-29;Platinum
C0272;Customer 272;Female;28;Medan;2023-03-04;Silver
C0273;Customer 273;Male;59;Jakarta;2024-02-13;Gold
C0274;Customer 274;Female;56;Medan;2024-07-10;Silver
C0275;Customer 275;Female;57;Bandung;2023-04-22;Platinum
C0276;Customer 276;Male;55;Jakarta;2023-07-17;Gold
C0277;Customer 277;Male;45;Bandung;2024-02-15;Silver
C0278;Customer 278;Female;37;Jakarta;2024-12-27;Gold
C0279;Customer 279;Female;38;Semarang;2024-11-27;Gold
C0280;Customer 280;Female;59;Surabaya;2023-03-08;Silver
C0281;Customer 281;Male;20;Surabaya;2024-07-24;Silver
C0282;Customer 282;Female;21;Semarang;2023-01-13;Gold
C0283;Customer 283;Male;40;Bandung;2023-10-14;Gold
C0284;Customer 284;Female;37;Bandung;2024-12-21;Platinum
C0285;Customer 285;Female;52;Semarang;2024-03-30;Silver
C0286;Customer 286;Female;22;Bandung;2023-09-02;Silver
C0287;Customer 287;Female;19;Medan;2024-06-16;Silver
C0288;Customer 288;Male;24;Surabaya;2023-12-29;Gold
C0289;Customer 289;Male;46;Semarang;2024-10-17;Platinum
C0290;Customer 290;Female;43;Surabaya;2024-03-01;Platinum
C0291;Customer 291;Female;38;Semarang;2023-03-03;Silver
C0292;Customer 292;Female;45;Semarang;2023-03-30;Platinum
C0293;Customer 293;Female;42;Bandung;2024-05-30;Silver
C0294;Customer 294;Male;47;Bandung;2023-08-09;Gold
C0295;Customer 295;Male;55;Semarang;2023-01-07;Silver
C0296;Customer 296;Female;59;Medan;2023-11-12;Silver
C0297;Customer 297;Male;45;Surabaya;2024-06-12;Platinum
C0298;Customer 298;Male;54;Semarang;2024-11-17;Silver
C0299;Customer 299;Female;41;Surabaya;2023-07-03;Silver
C0300;Customer 300;Male;58;Semarang;2024-03-16;Gold
C0301;Customer 301;Male;55;Bandung;2023-04-15;Gold
C0302;Customer 302;Female;59;Surabaya;2024-10-19;Platinum
C0303;Customer 303;Male;56;Bandung;2024-11-09;Silver
C0304;Customer 304;Female;42;Jakarta;2023-07-04;Silver
C0305;Customer 305;Female;44;Bandung;2024-08-11;Platinum
C0306;Customer 306;Female;57;Jakarta;2024-12-22;Platinum
C0307;Customer 307;Male;48;Medan;2023-03-24;Silver
C0308;Customer 308;Female;37;Medan;2024-03-22;Silver
C0309;Customer 309;Female;22;Jakarta;2024-09-01;Gold
C0310;Customer 310;Male;35;Surabaya;2023-03-01;Gold
C0311;Customer 311;Female;32;Semarang;2023-06-02;Gold
C0312;Customer 312;Female;60;Medan;2024-03-17;Silver
C0313;Customer 313;Male;36;Surabaya;2024-12-02;Platinum
C0314;Customer 314;Male;53;Medan;2024-10-31;Silver
C0315;Customer 315;Female;60;Semarang;2023-03-07;Silver
C0316;Customer 316;Male;56;Semarang;2023-11-18;Gold
C0317;Customer 317;Male;28;Bandung;2023-06-30;Platinum
C0318;Customer 318;Male;30;Medan;2023-07-18;Gold
C0319;Customer 319;Male;37;Surabaya;2023-09-24;Gold
C0320;Customer 320;Male;26;Surabaya;2023-09-13;Silver
C0321;Customer 321;Male;43;Medan;2023-03-22;Platinum
C0322;Customer 322;Female;22;Surabaya;2023-04-23;Platinum
C0323;Customer 323;Female;25;Bandung;2024-02-07;Silver
C0324;Customer 324;Male;49;Bandung;2023-09-22;Platinum
C0325;Customer 325;Male;35;Bandung;2023-03-27;Silver
C0326;Customer 326;Female;53;Semarang;2023-01-18;Platinum
C0327;Customer 327;Male;40;Surabaya;2024-03-03;Platinum
C0328;Customer 328;Male;34;Surabaya;2023-04-10;Gold
C0329;Customer 329;Male;50;Surabaya;2023-06-21;Silver
C0330;Customer 330;Male;38;Medan;2024-03-20;Platinum
C0331;Customer 331;Male;38;Surabaya;2023-07-29;Gold
C0332;Customer 332;Male;18;Semarang;2024-10-18;Platinum
C0333;Customer 333;Female;42;Bandung;2024-05-13;Platinum
C0334;Customer 334;Male;45;Surabaya;2024-03-22;Silver
C0335;Customer 335;Female;36;Surabaya;2024-03-23;Gold
C0336;Customer 336;Male;49;Jakarta;2023-08-16;Platinum
C0337;Customer 337;Female;40;Medan;2023-08-10;Gold
C0338;Customer 338;Female;56;Bandung;2023-10-23;Silver
C0339;Customer 339;Male;22;Semarang;2024-11-14;Silver
C0340;Customer 340;Male;32;Surabaya;2024-08-19;Silver
C0341;Customer 341;Male;60;Bandung;2024-10-27;Silver
C0342;Customer 342;Female;36;Surabaya;2023-11-22;Gold
C0343;Customer 343;Male;21;Jakarta;2023-10-17;Gold
C0344;Customer 344;Male;27;Semarang;2024-05-14;Gold
C0345;Customer 345;Male;49;Bandung;2024-09-07;Gold
C0346;Customer 346;Male;20;Surabaya;2024-09-04;Platinum
C0347;Customer 347;Male;59;Bandung;2024-09-16;Silver
C0348;Customer 348;Female;19;Medan;2023-10-09;Silver
C0349;Customer 349;Female;42;Semarang;2024-06-26;Silver
C0350;Customer 350;Male;53;Surabaya;2024-12-30;Platinum
C0351;Customer 351;Male;43;Bandung;2024-10-08;Silver
C0352;Customer 352;Male;38;Bandung;2024-05-22;Gold
C0353;Customer 353;Male;59;Medan;2024-08-13;Platinum
C0354;Customer 354;Female;28;Bandung;2023-08-26;Platinum
C0355;Customer 355;Male;40;Semarang;2023-12-24;Silver
C0356;Customer 356;Female;49;Jakarta;2024-03-25;Gold
C0357;Customer 357;Female;57;Semarang;2024-03-06;Gold
C0358;Customer 358;Male;45;Semarang;2024-04-16;Silver
C0359;Customer 359;Female;51;Semarang;2024-04-04;Platinum
C0360;Customer 360;Female;59;Bandung;2024-06-24;Silver
C0361;Customer 361;Male;35;Surabaya;2023-06-14;Platinum
C0362;Customer 362;Male;38;Jakarta;2023-06-06;Silver
C0363;Customer 363;Female;25;Surabaya;2023-07-03;Silver
C0364;Customer 364;Female;55;Jakarta;2023-08-02;Gold
C0365;Customer 365;Female;59;Jakarta;2024-12-06;Gold
C0366;Customer 366;Female;43;Medan;2023-12-26;Platinum
C0367;Customer 367;Male;44;Bandung;2024-01-19;Platinum
C0368;Customer 368;Male;32;Bandung;2024-03-28;Platinum
C0369;Customer 369;Female;35;Semarang;2024-05-03;Silver
C0370;Customer 370;Male;55;Medan;2024-07-27;Platinum
C0371;Customer 371;Female;51;Semarang;2024-01-30;Platinum
C0372;Customer 372;Female;58;Semarang;2023-03-26;Gold
C0373;Customer 373;Male;44;Medan;2024-07-04;Gold
C0374;Customer 374;Female;35;Jakarta;2023-12-10;Gold
C0375;Customer 375;Female;28;Semarang;2023-01-29;Silver
C0376;Customer 376;Female;49;Jakarta;2023-06-25;Platinum
C0377;Customer 377;Male;28;Semarang;2024-04-17;Silver
C0378;Customer 378;Male;41;Surabaya;2023-01-10;Platinum
C0379;Customer 379;Female;40;Semarang;2024-01-10;Silver
C0380;Customer 380;Male;59;Surabaya;2023-07-05;Platinum
C0381;Customer 381;Male;32;Surabaya;2023-03-03;Silver
C0382;Customer 382;Male;42;Jakarta;2024-10-03;Platinum
C0383;Customer 383;Female;59;Semarang;2024-12-27;Platinum
C0384;Customer 384;Female;40;Semarang;2023-04-06;Platinum
C0385;Customer 385;Male;39;Surabaya;2023-11-17;Gold
C0386;Customer 386;Female;26;Semarang;2023-07-31;Silver
C0387;Customer 387;Male;41;Medan;2023-02-23;Silver
C0388;Customer 388;Female;28;Semarang;2024-02-04;Gold
C0389;Customer 389;Female;44;Surabaya;2023-10-30;Silver
C0390;Customer 390;Female;59;Surabaya;2023-06-17;Silver
C0391;Customer 391;Female;49;Semarang;2024-09-26;Silver
C0392;Customer 392;Male;45;Semarang;2023-08-17;Silver
C0393;Customer 393;Female;42;Medan;2023-07-30;Silver
C0394;Customer 394;Female;51;Semarang;2024-07-16;Gold
C0395;Customer 395;Male;34;Medan;2023-11-25;Silver
C0396;Customer 396;Male;55;Jakarta;2024-08-15;Platinum
C0397;Customer 397;Male;23;Semarang;2023-04-01;Platinum
C0398;Customer 398;Male;46;Jakarta;2023-08-29;Platinum
C0399;Customer 399;Male;42;Surabaya;2024-01-29;Platinum
C0400;Customer 400;Female;56;Semarang;2024-09-25;Silver
C0401;Customer 401;Male;46;Surabaya;2024-10-17;Gold
C0402;Customer 402;Female;26;Medan;2023-10-05;Silver
C0403;Customer 403;Male;47;Bandung;2024-08-05;Gold
C0404;Customer 404;Male;51;Surabaya;2023-01-28;Silver
C0405;Customer 405;Male;55;Surabaya;2023-09-17;Silver
C0406;Customer 406;Female;28;Medan;2024-11-20;Gold
C0407;Customer 407;Female;50;Semarang;2024-03-26;Platinum
C0408;Customer 408;Female;49;Surabaya;2024-12-12;Platinum
C0409;Customer 409;Male;20;Jakarta;2024-08-11;Platinum
C0410;Customer 410;Female;56;Medan;2024-02-23;Platinum
C0411;Customer 411;Male;55;Medan;2024-03-25;Silver
C0412;Customer 412;Male;56;Jakarta;2023-03-14;Platinum
C0413;Customer 413;Male;48;Surabaya;2024-06-23;Gold
C0414;Customer 414;Female;25;Surabaya;2023-12-05;Silver
C0415;Customer 415;Male;51;Semarang;2024-10-22;Platinum
C0416;Customer 416;Female;59;Surabaya;2024-08-23;Gold
C0417;Customer 417;Male;40;Bandung;2023-11-16;Platinum
C0418;Customer 418;Female;41;Surabaya;2023-11-24;Platinum
C0419;Customer 419;Male;38;Medan;2023-01-28;Platinum
C0420;Customer 420;Female;23;Medan;2023-09-16;Platinum
C0421;Customer 421;Female;57;Surabaya;2024-05-11;Silver
C0422;Customer 422;Male;53;Medan;2024-01-17;Platinum
C0423;Customer 423;Female;50;Jakarta;2024-01-21;Silver
C0424;Customer 424;Female;23;Jakarta;2024-02-01;Silver
C0425;Customer 425;Male;28;Surabaya;2024-08-12;Silver
C0426;Customer 426;Female;49;Semarang;2023-10-19;Platinum
C0427;Customer 427;Male;47;Medan;2024-03-01;Platinum
C0428;Customer 428;Male;44;Semarang;2024-10-14;Platinum
C0429;Customer 429;Female;34;Semarang;2023-10-14;Gold
C0430;Customer 430;Male;22;Surabaya;2023-05-02;Silver
C0431;Customer 431;Female;39;Jakarta;2023-05-04;Silver
C0432;Customer 432;Female;28;Semarang;2023-05-29;Platinum
C0433;Customer 433;Female;57;Medan;2023-02-12;Gold
C0434;Customer 434;Male;20;Surabaya;2023-11-16;Platinum
C0435;Customer 435;Male;23;Medan;2024-01-17;Platinum
C0436;Customer 436;Male;26;Surabaya;2024-08-11;Gold
C0437;Customer 437;Male;18;Medan;2023-08-29;Silver
C0438;Customer 438;Female;31;Bandung;2023-04-21;Platinum
C0439;Customer 439;Male;58;Medan;2024-03-21;Platinum
C0440;Customer 440;Female;35;Surabaya;2023-10-17;Silver
C0441;Customer 441;Female;34;Semarang;2023-01-23;Gold
