Order_ID;Rating;Review_Type
O00205;4;Positive
O00206;5;Positive
O00207;1;Negative
O00208;3;Neutral
O00209;5;Positive
O00210;2;Negative
O00211;1;Negative
O00212;5;Positive
O00213;4;Positive
O00214;1;Negative
O00215;5;Positive
O00216;5;Positive
O00217;3;Neutral
O00218;4;Positive
O00219;2;Negative
O00220;2;Negative
O00221;1;Negative
O00222;1;Negative
O00223;1;Negative
O00224;5;Positive
O00225;2;Negative
O00226;4;Positive
O00227;5;Positive
O00228;5;Positive
O00229;4;Positive
O00230;4;Positive
O00231;5;Positive
O00232;4;Positive
O00233;4;Positive
O00234;5;Positive
O00235;4;Positive
O00236;2;Negative
O00237;2;Negative
O00238;2;Negative
O00239;4;Positive
O00240;3;Neutral
O00241;5;Positive
O00242;3;Neutral
O00243;5;Positive
O00244;1;Negative
O00245;5;Positive
O00246;1;Negative
O00247;5;Positive
O00248;2;Negative
O00249;2;Negative
O00250;3;Neutral
O00251;1;Negative
O00252;3;Neutral
O00253;3;Neutral
O00254;1;Negative
O00255;1;Negative
O00256;2;Negative
O00257;4;Positive
O00258;3;Neutral
O00259;3;Neutral
O00260;1;Negative
O00261;5;Positive
O00262;4;Positive
O00263;3;Neutral
O00264;1;Negative
O00265;5;Positive
O00266;2;Negative
O00267;1;Negative
O00268;4;Positive
O00269;5;Positive
O00270;5;Positive
O00271;5;Positive
O00272;4;Positive
O00273;5;Positive
O00274;3;Neutral
O00275;4;Positive
O00276;2;Negative
O00277;4;Positive
O00278;5;Positive
O00279;3;Neutral
O00280;3;Neutral
O00281;5;Positive
O00282;2;Negative
O00283;5;Positive
O00284;1;Negative
O00285;4;Positive
O00286;1;Negative
O00287;1;Negative
O00288;5;Positive
O00289;4;Positive
O00290;1;Negative
O00291;2;Negative
O00292;1;Negative
O00293;1;Negative
O00294;1;Negative
O00295;5;Positive
O00296;1;Negative
O00297;2;Negative
O00298;3;Neutral
O00299;3;Neutral
O00300;2;Negative
O00301;5;Positive
O00302;4;Positive
O00303;3;Neutral
O00304;5;Positive
O00305;2;Negative
O00306;1;Negative
O00307;1;Negative
O00308;3;Neutral
O00309;4;Positive
O00310;2;Negative
O00311;2;Negative
O00312;2;Negative
O00313;2;Negative
O00314;2;Negative
O00315;4;Positive
O00316;3;Neutral
O00317;1;Negative
O00318;3;Neutral
O00319;5;Positive
O00320;1;Negative
O00321;3;Neutral
O00322;3;Neutral
O00323;1;Negative
O00324;1;Negative
O00325;5;Positive
O00326;1;Negative
O00327;5;Positive
O00328;4;Positive
O00329;2;Negative
O00330;3;Neutral
O00331;2;Negative
O00332;4;Positive
O00333;2;Negative
O00334;5;Positive
O00335;1;Negative
O00336;4;Positive
O00337;4;Positive
O00338;1;Negative
O00339;2;Negative
O00340;5;Positive
O00341;4;Positive
O00342;5;Positive
O00343;4;Positive
O00344;2;Negative
O00345;5;Positive
O00346;1;Negative
O00347;3;Neutral
O00348;4;Positive
O00349;3;Neutral
O00350;3;Neutral
O00351;3;Neutral
O00352;5;Positive
O00353;1;Negative
O00354;3;Neutral
O00355;1;Negative
O00356;3;Neutral
O00357;4;Positive
O00358;1;Negative
O00359;1;Negative
O00360;5;Positive
O00361;4;Positive
O00362;2;Negative
O00363;4;Positive
O00364;4;Positive
O00365;1;Negative
O00366;4;Positive
O00367;1;Negative
O00368;1;Negative
O00369;5;Positive
O00370;4;Positive
O00371;1;Negative
O00372;3;Neutral
O00373;4;Positive
O00374;3;Neutral
O00375;2;Negative
O00376;4;Positive
O00377;2;Negative
O00378;1;Negative
O00379;1;Negative
O00380;1;Negative
O00381;2;Negative
O00382;2;Negative
O00383;1;Negative
O00384;3;Neutral
O00385;4;Positive
O00386;5;Positive
O00387;3;Neutral
O00388;1;Negative
O00389;2;Negative
O00390;1;Negative
O00391;4;Positive
O00392;2;Negative
O00393;5;Positive
O00394;2;Negative
O00395;4;Positive
O00396;3;Neutral
O00397;5;Positive
O00398;2;Negative
O00399;5;Positive
O00400;1;Negative
O00401;4;Positive
O00402;4;Positive
O00403;1;Negative
O00404;1;Negative
O00405;3;Neutral
O00406;3;Neutral
O00407;1;Negative
O00408;3;Neutral
O00409;5;Positive
O00410;3;Neutral
O00411;2;Negative
O00412;5;Positive
O00413;4;Positive
O00414;2;Negative
O00415;2;Negative
O00416;2;Negative
O00417;3;Neutral
O00418;4;Positive
O00419;3;Neutral
O00420;2;Negative
O00421;3;Neutral
O00422;3;Neutral
O00423;5;Positive
O00424;2;Negative
O00425;2;Negative
O00426;5;Positive
O00427;5;Positive
O00428;4;Positive
O00429;2;Negative
O00430;3;Neutral
O00431;4;Positive
O00432;3;Neutral
O00433;5;Positive
O00434;4;Positive
O00435;3;Neutral
O00436;1;Negative
O00437;5;Positive
O00438;1;Negative
O00439;1;Negative
O00440;4;Positive
O00441;5;Positive
O00442;3;Neutral
O00443;2;Negative
O00444;3;Neutral
O00445;5;Positive
O00446;4;Positive
O00447;3;Neutral
O00448;3;Neutral
O00449;2;Negative
O00450;4;Positive
O00451;4;Positive
O00452;3;Neutral
O00453;1;Negative
O00454;4;Positive
O00455;5;Positive
O00456;4;Positive
O00457;1;Negative
O00458;1;Negative
O00459;4;Positive
O00460;3;Neutral
O00461;2;Negative
O00462;5;Positive
O00463;1;Negative
O00464;5;Positive
O00465;3;Neutral
O00466;5;Positive
O00467;1;Negative
O00468;5;Positive
O00469;4;Positive
O00470;2;Negative
O00471;2;Negative
O00472;1;Negative
O00473;2;Negative
O00474;4;Positive
O00475;4;Positive
O00476;2;Negative
O00477;3;Neutral
O00478;5;Positive
O00479;3;Neutral
O00480;2;Negative
O00481;1;Negative
O00482;3;Neutral
O00483;5;Positive
O00484;3;Neutral
O00485;4;Positive
O00486;1;Negative
O00487;2;Negative
O00488;1;Negative
O00489;1;Negative
O00490;2;Negative
O00491;1;Negative
O00492;5;Positive
O00493;2;Negative
O00494;4;Positive
O00495;5;Positive
O00496;4;Positive
O00497;3;Neutral
O00498;1;Negative
O00499;1;Negative
O00500;2;Negative
O00501;4;Positive
O00502;4;Positive
O00503;3;Neutral
O00504;2;Negative
O00505;1;Negative
O00506;3;Neutral
O00507;1;Negative
O00508;4;Positive
O00509;5;Positive
O00510;3;Neutral
O00511;1;Negative
O00512;5;Positive
O00513;4;Positive
O00514;5;Positive
O00515;2;Negative
O00516;2;Negative
O00517;1;Negative
O00518;4;Positive
O00519;1;Negative
O00520;3;Neutral
O00521;1;Negative
O00522;1;Negative
O00523;5;Positive
O00524;3;Neutral
O00525;3;Neutral
O00526;1;Negative
O00527;2;Negative
O00528;2;Negative
O00529;1;Negative
O00530;4;Positive
O00531;5;Positive
O00532;5;Positive
O00533;2;Negative
O00534;1;Negative
O00535;5;Positive
O00536;1;Negative
O00537;1;Negative
O00538;4;Positive
O00539;5;Positive
O00540;1;Negative
O00541;2;Negative
O00542;5;Positive
O00543;1;Negative
O00544;1;Negative
O00545;4;Positive
O00546;4;Positive
O00547;5;Positive
O00548;4;Positive
O00549;5;Positive
O00550;1;Negative
O00551;3;Neutral
O00552;5;Positive
O00553;4;Positive
O00554;5;Positive
O00555;3;Neutral
O00556;1;Negative
O00557;2;Negative
O00558;3;Neutral
O00559;2;Negative
O00560;3;Neutral
O00561;2;Negative
O00562;2;Negative
O00563;5;Positive
O00564;5;Positive
O00565;1;Negative
O00566;4;Positive
O00567;3;Neutral
O00568;3;Neutral
O00569;4;Positive
O00570;3;Neutral
O00571;1;Negative
O00572;3;Neutral
O00573;5;Positive
O00574;5;Positive
O00575;3;Neutral
O00576;4;Positive
O00577;1;Negative
O00578;1;Negative
O00579;5;Positive
O00580;5;Positive
O00581;2;Negative
O00582;4;Positive
O00583;1;Negative
O00584;2;Negative
O00585;4;Positive
O00586;5;Positive
O00587;5;Positive
O00588;1;Negative
O00589;2;Negative
O00590;1;Negative
O00591;5;Positive
O00592;2;Negative
O00593;1;Negative
O00594;2;Negative
O00595;2;Negative
O00596;5;Positive
O00597;5;Positive
O00598;1;Negative
O00599;4;Positive
O00600;5;Positive
O00601;4;Positive
O00602;3;Neutral
O00603;3;Neutral
O00604;1;Negative
O00605;2;Negative
O00606;3;Neutral
O00607;5;Positive
O00608;2;Negative
O00609;5;Positive
O00610;5;Positive
O00611;3;Neutral
O00612;2;Negative
O00613;1;Negative
O00614;1;Negative
O00615;2;Negative
O00616;1;Negative
O00617;2;Negative
O00618;3;Neutral
O00619;2;Negative
O00620;5;Positive
O00621;5;Positive
O00622;4;Positive
O00623;3;Neutral
O00624;3;Neutral
O00625;5;Positive
O00626;1;Negative
O00627;2;Negative
O00628;3;Neutral
O00629;2;Negative
O00630;1;Negative
O00631;5;Positive
O00632;5;Positive
O00633;5;Positive
O00634;5;Positive
O00635;5;Positive
O00636;1;Negative
O00637;1;Negative
O00638;4;Positive
O00639;2;Negative
O00640;5;Positive
O00641;5;Positive
O00642;3;Neutral
O00643;3;Neutral
O00644;4;Positive
O00645;4;Positive
O00646;3;Neutral
O00647;3;Neutral
O00648;4;Positive
O00649;3;Neutral
O00650;3;Neutral
O00651;2;Negative
O00652;4;Positive
O00653;4;Positive
O00654;3;Neutral
O00655;5;Positive
O00656;4;Positive
O00657;5;Positive
O00658;5;Positive
O00659;5;Positive
O00660;1;Negative
O00661;4;Positive
O00662;5;Positive
O00663;2;Negative
O00664;4;Positive
O00665;2;Negative
O00666;5;Positive
O00667;2;Negative
O00668;5;Positive
O00669;5;Positive
O00670;3;Neutral
O00671;5;Positive
O00672;2;Negative
O00673;1;Negative
O00674;3;Neutral
O00675;1;Negative
O00676;5;Positive
O00677;2;Negative
O00678;1;Negative
O00679;4;Positive
O00680;5;Positive
O00681;4;Positive
O00682;2;Negative
O00683;5;Positive
O00684;3;Neutral
O00685;3;Neutral
O00686;2;Negative
O00687;5;Positive
O00688;5;Positive
O00689;5;Positive
O00690;4;Positive
O00691;5;Positive
O00692;3;Neutral
O00693;4;Positive
O00694;4;Positive
O00695;4;Positive
O00696;1;Negative
O00697;2;Negative
O00698;2;Negative
O00699;2;Negative
O00700;5;Positive
O00701;3;Neutral
O00702;1;Negative
O00703;4;Positive
O00704;3;Neutral
O00705;5;Positive
O00706;4;Positive
O00707;4;Positive
O00708;2;Negative
O00709;5;Positive
O00710;4;Positive
O00711;4;Positive
O00712;3;Neutral
O00713;4;Positive
O00714;1;Negative
O00715;5;Positive
O00716;4;Positive
O00717;2;Negative
O00718;2;Negative
O00719;4;Positive
O00720;2;Negative
O00721;2;Negative
O00722;4;Positive
O00723;4;Positive
O00724;5;Positive
O00725;5;Positive
O00726;4;Positive
O00727;3;Neutral
O00728;1;Negative
O00729;4;Positive
O00730;4;Positive
O00731;4;Positive
O00732;4;Positive
O00733;4;Positive
O00734;3;Neutral
O00735;2;Negative
O00736;4;Positive
O00737;5;Positive
O00738;1;Negative
O00739;4;Positive
O00740;2;Negative
O00741;2;Negative
O00742;4;Positive
O00743;1;Negative
O00744;1;Negative
O00745;1;Negative
O00746;1;Negative
O00747;3;Neutral
O00748;5;Positive
O00749;4;Positive
O00750;2;Negative
O00751;5;Positive
O00752;5;Positive
O00753;4;Positive
O00754;1;Negative
O00755;3;Neutral
O00756;2;Negative
O00757;4;Positive
O00758;1;Negative
O00759;1;Negative
O00760;4;Positive
O00761;4;Positive
O00762;4;Positive
O00763;5;Positive
O00764;2;Negative
O00765;5;Positive
O00766;1;Negative
O00767;3;Neutral
O00768;1;Negative
O00769;4;Positive
O00770;1;Negative
O00771;2;Negative
O00772;3;Neutral
O00773;1;Negative
O00774;1;Negative
O00775;5;Positive
O00776;2;Negative
O00777;5;Positive
O00778;3;Neutral
O00779;2;Negative
O00780;3;Neutral
O00781;5;Positive
O00782;5;Positive
O00783;3;Neutral
O00784;1;Negative
O00785;4;Positive
O00786;1;Negative
O00787;3;Neutral
O00788;1;Negative
O00789;1;Negative
O00790;5;Positive
O00791;4;Positive
O00792;3;Neutral
O00793;3;Neutral
O00794;2;Negative
O00795;4;Positive
O00796;2;Negative
O00797;5;Positive
O00798;3;Neutral
O00799;2;Negative
O00800;1;Negative
O00801;2;Negative
O00802;2;Negative
O00803;5;Positive
O00804;5;Positive
O00805;4;Positive
O00806;2;Negative
O00807;1;Negative
O00808;1;Negative
O00809;2;Negative
O00810;5;Positive
O00811;5;Positive
O00812;3;Neutral
O00813;2;Negative
O00814;4;Positive
O00815;1;Negative
O00816;3;Neutral
O00817;1;Negative
O00818;1;Negative
O00819;5;Positive
O00820;1;Negative
O00821;4;Positive
O00822;5;Positive
O00823;1;Negative
O00824;3;Neutral
O00825;5;Positive
O00826;1;Negative
O00827;4;Positive
O00828;2;Negative
O00829;2;Negative
O00830;4;Positive
O00831;1;Negative
O00832;3;Neutral
O00833;4;Positive
O00834;2;Negative
O00835;5;Positive
O00836;5;Positive
O00837;5;Positive
O00838;1;Negative
O00839;1;Negative
O00840;4;Positive
O00841;1;Negative
O00842;1;Negative
O00843;5;Positive
O00844;3;Neutral
O00845;3;Neutral
O00846;3;Neutral
O00847;4;Positive
O00848;3;Neutral
O00849;5;Positive
O00850;2;Negative
O00851;2;Negative
O00852;4;Positive
O00853;5;Positive
O00854;3;Neutral
O00855;4;Positive
O00856;3;Neutral
O00857;1;Negative
O00858;1;Negative
O00859;3;Neutral
O00860;4;Positive
O00861;3;Neutral
O00862;1;Negative
O00863;1;Negative
O00864;2;Negative
O00865;3;Neutral
O00866;3;Neutral
O00867;1;Negative
O00868;5;Positive
O00869;3;Neutral
O00870;3;Neutral
O00871;4;Positive
O00872;3;Neutral
O00873;1;Negative
O00874;4;Positive
O00875;1;Negative
O00876;5;Positive
O00877;2;Negative
O00878;1;Negative
O00879;2;Negative
O00880;4;Positive
O00881;2;Negative
O00882;5;Positive
O00883;3;Neutral
O00884;2;Negative
O00885;1;Negative
O00886;3;Neutral
O00887;5;Positive
O00888;5;Positive
O00889;5;Positive
O00890;1;Negative
O00891;5;Positive
O00892;1;Negative
O00893;4;Positive
O00894;3;Neutral
O00895;2;Negative
O00896;4;Positive
O00897;3;Neutral
O00898;4;Positive
O00899;1;Negative
O00900;4;Positive
O00901;3;Neutral
O00902;3;Neutral
O00903;4;Positive
O00904;2;Negative
O00905;2;Negative
O00906;3;Neutral
O00907;1;Negative
O00908;3;Neutral
O00909;3;Neutral
O00910;5;Positive
O00911;2;Negative
O00912;1;Negative
O00913;3;Neutral
O00914;4;Positive
O00915;1;Negative
O00916;3;Neutral
O00917;5;Positive
O00918;5;Positive
O00919;2;Negative
O00920;1;Negative
O00921;2;Negative
O00922;5;Positive
O00923;1;Negative
O00924;3;Neutral
O00925;1;Negative
O00926;3;Neutral
O00927;2;Negative
O00928;1;Negative
O00929;5;Positive
O00930;4;Positive
O00931;3;Neutral
O00932;2;Negative
O00933;1;Negative
O00934;4;Positive
O00935;3;Neutral
O00936;2;Negative
O00937;1;Negative
O00938;5;Positive
O00939;3;Neutral
O00940;3;Neutral
O00941;1;Negative
O00942;1;Negative
O00943;1;Negative
O00944;3;Neutral
O00945;5;Positive
O00946;4;Positive
O00947;2;Negative
O00948;4;Positive
O00949;3;Neutral
O00950;1;Negative
O00951;3;Neutral
O00952;2;Negative
O00953;4;Positive
O00954;3;Neutral
O00955;5;Positive
O00956;4;Positive
O00957;1;Negative
O00958;1;Negative
O00959;3;Neutral
O00960;1;Negative
O00961;3;Neutral
O00962;1;Negative
O00963;1;Negative
O00964;4;Positive
O00965;5;Positive
O00966;2;Negative
O00967;5;Positive
O00968;5;Positive
O00969;2;Negative
O00970;5;Positive
O00971;3;Neutral
O00972;3;Neutral
O00973;5;Positive
O00974;4;Positive
O00975;5;Positive
O00976;4;Positive
O00977;3;Neutral
O00978;2;Negative
O00979;2;Negative
O00980;5;Positive
O00981;2;Negative
O00982;3;Neutral
O00983;2;Negative
O00984;5;Positive
O00985;3;Neutral
O00986;2;Negative
O00987;2;Negative
O00988;2;Negative
O00989;2;Negative
O00990;3;Neutral
O00991;4;Positive
O00992;5;Positive
O00993;4;Positive
O00994;3;Neutral
O00995;5;Positive
O00996;1;Negative
O00997;1;Negative
O00998;3;Neutral
O00999;5;Positive
O01000;3;Neutral
O01001;3;Neutral
O01002;3;Neutral
O01003;1;Negative
O01004;2;Negative
O01005;4;Positive
O01006;2;Negative
O01007;3;Neutral
O01008;5;Positive
O01009;2;Negative
O01010;3;Neutral
O01011;1;Negative
O01012;5;Positive
O01013;5;Positive
O01014;2;Negative
O01015;3;Neutral
O01016;5;Positive
O01017;4;Positive
O01018;2;Negative
O01019;5;Positive
O01020;2;Negative
O01021;5;Positive
O01022;4;Positive
O01023;5;Positive
O01024;5;Positive
O01025;3;Neutral
O01026;4;Positive
O01027;4;Positive
O01028;2;Negative
O01029;2;Negative
O01030;2;Negative
O01031;4;Positive
O01032;2;Negative
O01033;1;Negative
O01034;1;Negative
O01035;1;Negative
O01036;5;Positive
O01037;2;Negative
O01038;5;Positive
O01039;2;Negative
O01040;2;Negative
O01041;2;Negative
O01042;1;Negative
O01043;4;Positive
O01044;1;Negative
O01045;3;Neutral
O01046;4;Positive
O01047;2;Negative
O01048;3;Neutral
O01049;2;Negative
O01050;3;Neutral
O01051;1;Negative
O01052;4;Positive
O01053;2;Negative
O01054;4;Positive
O01055;3;Neutral
O01056;2;Negative
O01057;3;Neutral
O01058;3;Neutral
O01059;1;Negative
O01060;3;Neutral
O01061;1;Negative
O01062;3;Neutral
O01063;5;Positive
O01064;5;Positive
O01065;5;Positive
O01066;3;Neutral
O01067;3;Neutral
O01068;1;Negative
O01069;2;Negative
O01070;2;Negative
O01071;2;Negative
O01072;2;Negative
O01073;4;Positive
O01074;3;Neutral
O01075;5;Positive
O01076;5;Positive
O01077;2;Negative
O01078;3;Neutral
O01079;4;Positive
O01080;5;Positive
O01081;3;Neutral
O01082;4;Positive
O01083;5;Positive
O01084;4;Positive
O01085;2;Negative
O01086;1;Negative
O01087;5;Positive
O01088;5;Positive
O01089;1;Negative
O01090;5;Positive
O01091;1;Negative
O01092;3;Neutral
O01093;2;Negative
O01094;5;Positive
O01095;4;Positive
O01096;1;Negative
O01097;1;Negative
O01098;4;Positive
O01099;1;Negative
O01100;5;Positive
O01101;4;Positive
O01102;5;Positive
O01103;3;Neutral
O01104;1;Negative
O01105;1;Negative
O01106;4;Positive
O01107;5;Positive
O01108;2;Negative
O01109;1;Negative
O01110;3;Neutral
O01111;5;Positive
O01112;2;Negative
O01113;4;Positive
O01114;2;Negative
O01115;1;Negative
O01116;5;Positive
O01117;4;Positive
O01118;3;Neutral
O01119;1;Negative
O01120;4;Positive
O01121;3;Neutral
O01122;3;Neutral
O01123;3;Neutral
O01124;1;Negative
O01125;4;Positive
O01126;1;Negative
O01127;1;Negative
O01128;4;Positive
O01129;1;Negative
O01130;3;Neutral
O01131;2;Negative
O01132;4;Positive
O01133;1;Negative
O01134;1;Negative
O01135;2;Negative
O01136;4;Positive
O01137;5;Positive
O01138;5;Positive
O01139;4;Positive
O01140;1;Negative
O01141;1;Negative
O01142;2;Negative
O01143;5;Positive
O01144;5;Positive
O01145;4;Positive
O01146;1;Negative
O01147;4;Positive
O01148;4;Positive
O01149;1;Negative
O01150;2;Negative
O01151;2;Negative
O01152;5;Positive
O01153;2;Negative
O01154;2;Negative
O01155;2;Negative
O01156;5;Positive
O01157;5;Positive
O01158;2;Negative
O01159;2;Negative
O01160;4;Positive
O01161;5;Positive
O01162;4;Positive
O01163;3;Neutral
O01164;2;Negative
O01165;4;Positive
O01166;3;Neutral
O01167;5;Positive
O01168;2;Negative
O01169;1;Negative
O01170;3;Neutral
O01171;3;Neutral
O01172;1;Negative
O01173;5;Positive
O01174;5;Positive
O01175;1;Negative
O01176;2;Negative
O01177;3;Neutral
O01178;1;Negative
O01179;3;Neutral
O01180;2;Negative
O01181;4;Positive
O01182;4;Positive
O01183;4;Positive
O01184;3;Neutral
O01185;2;Negative
O01186;1;Negative
O01187;3;Neutral
O01188;3;Neutral
O01189;4;Positive
O01190;5;Positive
O01191;4;Positive
O01192;1;Negative
O01193;1;Negative
O01194;4;Positive
O01195;3;Neutral
O01196;3;Neutral
O01197;1;Negative
O01198;5;Positive
O01199;1;Negative
O01200;5;Positive
O01201;2;Negative
O01202;3;Neutral
O01203;2;Negative
O01204;5;Positive
O01205;4;Positive
O01206;5;Positive
O01207;4;Positive
O01208;1;Negative
O01209;1;Negative
O01210;3;Neutral
O01211;3;Neutral
O01212;5;Positive
O01213;1;Negative
O01214;2;Negative
O01215;1;Negative
O01216;3;Neutral
O01217;1;Negative
O01218;2;Negative
O01219;4;Positive
O01220;3;Neutral
O01221;4;Positive
O01222;3;Neutral
O01223;4;Positive
O01224;3;Neutral
O01225;4;Positive
O01226;3;Neutral
O01227;4;Positive
O01228;2;Negative
O01229;3;Neutral
O01230;1;Negative
O01231;5;Positive
O01232;5;Positive
O01233;4;Positive
O01234;5;Positive
O01235;2;Negative
O01236;3;Neutral
O01237;3;Neutral
O01238;5;Positive
O01239;5;Positive
O01240;4;Positive
O01241;1;Negative
O01242;5;Positive
O01243;1;Negative
O01244;3;Neutral
O01245;4;Positive
O01246;4;Positive
O01247;3;Neutral
O01248;3;Neutral
O01249;3;Neutral
O01250;1;Negative
O01251;3;Neutral
O01252;5;Positive
O01253;1;Negative
O01254;2;Negative
O01255;2;Negative
O01256;2;Negative
O01257;4;Positive
O01258;3;Neutral
O01259;1;Negative
O01260;4;Positive
O01261;4;Positive
O01262;4;Positive
O01263;3;Neutral
O01264;2;Negative
O01265;4;Positive
O01266;2;Negative
O01267;1;Negative
O01268;5;Positive
O01269;2;Negative
O01270;4;Positive
O01271;1;Negative
O01272;5;Positive
O01273;4;Positive
O01274;4;Positive
O01275;3;Neutral
O01276;4;Positive
O01277;3;Neutral
O01278;1;Negative
O01279;5;Positive
O01280;4;Positive
O01281;5;Positive
O01282;1;Negative
O01283;3;Neutral
O01284;4;Positive
O01285;4;Positive
O01286;3;Neutral
O01287;2;Negative
O01288;3;Neutral
O01289;4;Positive
O01290;3;Neutral
O01291;1;Negative
O01292;1;Negative
O01293;2;Negative
O01294;5;Positive
O01295;4;Positive
O01296;2;Negative
O01297;3;Neutral
O01298;1;Negative
O01299;1;Negative
O01300;5;Positive
O01301;5;Positive
O01302;1;Negative
O01303;5;Positive
O01304;4;Positive
O01305;1;Negative
O01306;5;Positive
O01307;1;Negative
O01308;4;Positive
O01309;5;Positive
O01310;5;Positive
O01311;1;Negative
O01312;4;Positive
O01313;1;Negative
O01314;1;Negative
O01315;4;Positive
O01316;3;Neutral
O01317;5;Positive
O01318;1;Negative
O01319;3;Neutral
O01320;5;Positive
O01321;3;Neutral
O01322;5;Positive
O01323;2;Negative
O01324;1;Negative
O01325;4;Positive
O01326;1;Negative
O01327;2;Negative
O01328;4;Positive
O01329;2;Negative
O01330;5;Positive
O01331;2;Negative
O01332;2;Negative
O01333;4;Positive
O01334;3;Neutral
O01335;1;Negative
O01336;3;Neutral
O01337;3;Neutral
O01338;1;Negative
O01339;2;Negative
O01340;4;Positive
O01341;2;Negative
O01342;4;Positive
O01343;5;Positive
O01344;5;Positive
O01345;2;Negative
O01346;2;Negative
O01347;2;Negative
O01348;2;Negative
O01349;1;Negative
O01350;4;Positive
O01351;3;Neutral
O01352;5;Positive
O01353;5;Positive
O01354;3;Neutral
O01355;1;Negative
O01356;3;Neutral
O01357;3;Neutral
O01358;4;Positive
O01359;5;Positive
O01360;4;Positive
O01361;4;Positive
O01362;3;Neutral
O01363;5;Positive
O01364;1;Negative
O01365;5;Positive
O01366;5;Positive
O01367;3;Neutral
O01368;3;Neutral
O01369;4;Positive
