Product_ID;Category;Brand;Price;Cost
P090;Printer;Brand11;10677517;8617506
P091;Monitor;Brand9;971077;583174
P092;Phone;Brand14;8266497;7268404
P093;Laptop;Brand8;2808337;1743317
P094;Monitor;Brand4;10441942;5307057
P095;Accessory;Brand1;9347074;7000544
P096;Laptop;Brand1;7131274;3703671
P097;Laptop;Brand18;14078295;8204483
P098;Laptop;Brand17;1314360;941257
P099;Printer;Brand20;8019080;5064881
P100;Phone;Brand4;5020361;3628506
P101;Printer;Brand18;5449842;4481871
P102;Printer;Brand12;1553041;1004237
P103;Accessory;Brand5;13555137;8049498
P104;Laptop;Brand11;6438098;5318418
P105;Monitor;Brand8;2614780;2085967
P106;Monitor;Brand4;14800466;10542865
P107;Printer;Brand20;11735900;9585424
P108;Monitor;Brand4;13462888;8766733
P109;Printer;Brand3;6541958;3323848
P110;Monitor;Brand11;14995660;12122149
P111;Printer;Brand12;10267846;7594100
P112;Laptop;Brand6;14546241;8085311
P113;Accessory;Brand10;12585518;10172764
P114;Printer;Brand14;10094169;7419428
P115;Monitor;Brand18;5261615;4415003
P116;Laptop;Brand13;9470485;5915505
P117;Printer;Brand4;13751194;7625740
P118;Phone;Brand9;10054827;8170003
P119;Laptop;Brand15;4902585;3342468
P120;Accessory;Brand3;582701;478163
P121;Laptop;Brand8;4861888;2808664
P122;Accessory;Brand12;11418819;8026900
P123;Accessory;Brand9;11466818;8829526
P124;Laptop;Brand13;10367287;6640919
P125;Phone;Brand6;8322335;7232436
P126;Monitor;Brand16;508362;269648
P127;Printer;Brand2;11643110;6429355
P128;Printer;Brand14;14185264;11502183
P129;Phone;Brand10;12382272;10148193
P130;Accessory;Brand16;532260;292138
P131;Printer;Brand2;13608476;10317648
P132;Printer;Brand14;13079414;6710003
P133;Phone;Brand15;10712674;8234550
P134;Accessory;Brand13;7233305;6440189
P135;Phone;Brand8;4733622;2861779
P136;Laptop;Brand7;9887530;6785368
P137;Printer;Brand8;10825194;7717935
P138;Printer;Brand5;3445376;1943460
P139;Phone;Brand17;5356389;4096832
P140;Printer;Brand8;6250229;3582425
P141;Monitor;Brand8;13406822;9800081
P142;Printer;Brand10;12819596;9535461
P143;Laptop;Brand7;3251506;2787397
P144;Phone;Brand8;4894068;3529588
P145;Monitor;Brand15;8626594;7277162
P146;Phone;Brand6;13487913;10147885
P147;Printer;Brand15;9299093;5095845
P148;Monitor;Brand18;13243664;7139352
P149;Laptop;Brand14;13772681;8157358
P150;Accessory;Brand9;8549685;4613107
P151;Accessory;Brand5;4713669;3753084
P152;Monitor;Brand13;14077195;9463119
P153;Printer;Brand14;10393789;8507432
P154;Monitor;Brand7;2823439;1898754
P155;Phone;Brand8;7795643;4224870
P156;Printer;Brand19;2752699;1488970
P157;Printer;Brand17;13655289;7465778
P158;Monitor;Brand15;5970180;3460261
P159;Monitor;Brand14;7831955;5774522
P160;Printer;Brand1;12123785;6408949
P161;Printer;Brand7;2917639;1911537
P162;Phone;Brand7;2113193;1086827
P163;Printer;Brand19;7779171;6230020
P164;Laptop;Brand9;10470416;8725343
P165;Phone;Brand5;4591464;4103376
P166;Phone;Brand2;11554372;6672476
P167;Accessory;Brand3;10391964;8978299
P168;Phone;Brand3;13797316;8633515
P169;Monitor;Brand11;7512123;4766173
P170;Laptop;Brand16;10535506;9253201
P171;Phone;Brand16;12045071;7179943
P172;Printer;Brand10;10350772;8828037
P173;Accessory;Brand18;10582856;5681590
P174;Printer;Brand14;11093578;7251437
P175;Monitor;Brand4;10523149;5606929
P176;Phone;Brand17;11788960;7092134
P177;Monitor;Brand16;6646866;5590888
P178;Laptop;Brand5;5654276;2855219
P179;Monitor;Brand19;3779640;2322414
P180;Printer;Brand7;9730426;7649665
P181;Printer;Brand9;12385158;7023419
P182;Printer;Brand3;13691625;10150784
P183;Phone;Brand4;14409579;8392896
P184;Accessory;Brand19;13698662;8393876
P185;Printer;Brand20;3972009;2572386
P186;Printer;Brand17;8998561;5748834
P187;Printer;Brand19;2092535;1273264
P188;Monitor;Brand14;10187387;8205617
P189;Printer;Brand10;195905;118005
P190;Accessory;Brand12;10682401;9311607
P191;Phone;Brand20;6149942;4553515
P192;Monitor;Brand4;3032579;2223490
P193;Printer;Brand1;4971371;3311330
P194;Accessory;Brand15;12970876;10349368
P195;Accessory;Brand17;9475816;7519039
P196;Phone;Brand18;14243034;11988472
P197;Accessory;Brand16;9371066;6523581
P198;Monitor;Brand6;2174632;1703503
P199;Laptop;Brand7;11613469;9091375
P200;Accessory;Brand20;10409260;5738052
P201;Phone;Brand17;8287785;5945684
P202;Accessory;Brand17;4568331;3644383
P203;Phone;Brand7;3365622;2169858
P204;Monitor;Brand15;12047385;8147015
P205;Printer;Brand7;13327819;7636312
P206;Accessory;Brand16;11414961;9508103
P207;Laptop;Brand18;890548;448342
P208;Accessory;Brand10;13329509;9411804
P209;Accessory;Brand1;7148076;5696507
P210;Accessory;Brand19;614575;399736
P211;Laptop;Brand20;10265633;7821094
P212;Monitor;Brand18;9842564;5784753
P213;Phone;Brand1;13666721;12205239
P214;Phone;Brand3;11209052;9752793
P215;Accessory;Brand1;2385221;1950924
P216;Accessory;Brand6;1306981;820806
P217;Laptop;Brand15;2928609;1702517
P218;Laptop;Brand13;3430700;2283371
P219;Monitor;Brand12;11430602;6319502
P220;Monitor;Brand13;9663306;6357538
P221;Printer;Brand7;13188889;7197459
P222;Phone;Brand17;1628269;925317
P223;Printer;Brand20;8819790;5079953
P224;Monitor;Brand11;11622423;8497155
P225;Laptop;Brand12;8529092;6300827
P226;Accessory;Brand15;10352329;5719680
P227;Laptop;Brand7;6928394;3737078
P228;Laptop;Brand8;3284752;2031243
P229;Phone;Brand1;11476206;10095228
P230;Phone;Brand19;12797393;9180554
P231;Laptop;Brand19;13574791;8989997
P232;Monitor;Brand17;6108821;3431557
P233;Monitor;Brand10;2604122;1310106
P234;Phone;Brand15;11869843;7402260
P235;Laptop;Brand12;10801590;8348803
P236;Accessory;Brand5;3578245;3218336
P237;Printer;Brand12;1217820;835129
P238;Printer;Brand2;6009286;3407559
P239;Laptop;Brand18;12836399;7493911
P240;Laptop;Brand14;863715;475552
P241;Laptop;Brand13;6288957;3714406
P242;Monitor;Brand17;9939641;6100013
P243;Printer;Brand2;12958195;8195693
P244;Printer;Brand12;10645456;9215035
P245;Printer;Brand1;3929211;2437526
P246;Monitor;Brand6;13252453;9931166
P247;Monitor;Brand20;12951758;7249692
P248;Monitor;Brand18;13424351;10523082
P249;Laptop;Brand12;6750152;4352287
P250;Laptop;Brand1;12156277;10089325
P251;Accessory;Brand18;7544081;3957522
P252;Monitor;Brand16;11334100;7543790
P253;Phone;Brand7;13203255;9971303
P254;Accessory;Brand6;14508669;12542648
P255;Laptop;Brand4;8626657;5708182
P256;Laptop;Brand4;6778562;5690961
P257;Accessory;Brand12;4404090;3409507
P258;Laptop;Brand18;2149554;1133937
P259;Phone;Brand18;8906209;6403379
P260;Phone;Brand11;6434933;4935624
P261;Phone;Brand2;6508805;5402020
P262;Monitor;Brand11;7539728;3820730
P263;Printer;Brand8;10606525;9455077
P264;Laptop;Brand6;7989540;4022105
P265;Monitor;Brand17;12099667;7865946
P266;Phone;Brand14;2558576;2027799
P267;Laptop;Brand10;13086493;11315884
P268;Monitor;Brand8;13224933;10084851
P269;Monitor;Brand18;11326254;7106115
P270;Printer;Brand16;7730965;5558086
P271;Phone;Brand15;5314461;4276359
P272;Laptop;Brand2;12459462;9550158
P273;Laptop;Brand9;2557918;1423400
P274;Monitor;Brand6;1884338;982669
P275;Printer;Brand18;14583378;10133019
P276;Accessory;Brand18;12165700;10069711
P277;Printer;Brand11;10405560;6559645
P278;Accessory;Brand5;3326355;1966496
P279;Accessory;Brand7;990990;607009
P280;Monitor;Brand12;4978208;4297585
P281;Accessory;Brand18;13754553;7504612
P282;Accessory;Brand1;4576129;3127472
P283;Laptop;Brand1;3001939;1831136
P284;Monitor;Brand11;14789524;8496783
P285;Accessory;Brand11;5054234;2836872
P286;Phone;Brand19;3166919;2030127
P287;Monitor;Brand11;5606538;4433339
P288;Phone;Brand14;7406927;3953750
P289;Phone;Brand14;10383699;5856769
P290;Monitor;Brand5;9631341;8516812
P291;Accessory;Brand5;2206241;1400669
P292;Phone;Brand15;7073827;4142391
P293;Laptop;Brand16;1006651;611028
P294;Monitor;Brand18;7488916;5518690
P295;Phone;Brand10;6871737;3844762
P296;Monitor;Brand17;3916154;2881484
P297;Monitor;Brand16;5448182;2819694
P298;Monitor;Brand17;9892511;6016028
P299;Laptop;Brand1;2519871;1877446
P300;Printer;Brand5;9047882;5475842
