Order_ID;Method;Status
O00713;COD;Paid
O00714;Credit Card;Paid
O00715;Transfer;Failed
O00716;QRIS;Failed
O00717;E-Wallet;Paid
O00718;Credit Card;Paid
O00719;E-Wallet;Failed
O00720;E-Wallet;Paid
O00721;Transfer;Paid
O00722;QRIS;Paid
O00723;E-Wallet;Paid
O00724;COD;Paid
O00725;E-Wallet;Paid
O00726;E-Wallet;Paid
O00727;COD;Paid
O00728;Credit Card;Paid
O00729;COD;Paid
O00730;COD;Paid
O00731;QRIS;Paid
O00732;Credit Card;Paid
O00733;E-Wallet;Paid
O00734;E-Wallet;Paid
O00735;QRIS;Paid
O00736;QRIS;Paid
O00737;E-Wallet;Paid
O00738;QRIS;Paid
O00739;Credit Card;Paid
O00740;Transfer;Paid
O00741;Transfer;Failed
O00742;Credit Card;Paid
O00743;COD;Paid
O00744;E-Wallet;Paid
O00745;COD;Failed
O00746;Credit Card;Paid
O00747;COD;Paid
O00748;QRIS;Failed
O00749;Transfer;Failed
O00750;Transfer;Failed
O00751;Credit Card;Paid
O00752;E-Wallet;Paid
O00753;Credit Card;Paid
O00754;Transfer;Paid
O00755;Credit Card;Failed
O00756;COD;Paid
O00757;Transfer;Paid
O00758;QRIS;Paid
O00759;COD;Paid
O00760;QRIS;Paid
O00761;Credit Card;Failed
O00762;QRIS;Failed
O00763;COD;Failed
O00764;E-Wallet;Failed
O00765;E-Wallet;Paid
O00766;Credit Card;Paid
O00767;QRIS;Failed
O00768;QRIS;Paid
O00769;COD;Paid
O00770;Credit Card;Paid
O00771;Credit Card;Paid
O00772;Credit Card;Failed
O00773;QRIS;Paid
O00774;E-Wallet;Paid
O00775;Transfer;Paid
O00776;QRIS;Failed
O00777;Transfer;Paid
O00778;QRIS;Paid
O00779;QRIS;Paid
O00780;QRIS;Paid
O00781;E-Wallet;Paid
O00782;Transfer;Paid
O00783;QRIS;Paid
O00784;Transfer;Paid
O00785;COD;Paid
O00786;E-Wallet;Failed
O00787;QRIS;Paid
O00788;QRIS;Failed
O00789;Transfer;Paid
O00790;COD;Paid
O00791;Transfer;Failed
O00792;E-Wallet;Failed
O00793;E-Wallet;Paid
O00794;QRIS;Failed
O00795;Transfer;Paid
O00796;E-Wallet;Paid
O00797;COD;Paid
O00798;Transfer;Paid
O00799;QRIS;Failed
O00800;COD;Paid
O00801;Transfer;Paid
O00802;Credit Card;Paid
O00803;Credit Card;Paid
O00804;Transfer;Paid
O00805;Credit Card;Paid
O00806;COD;Paid
O00807;COD;Paid
O00808;QRIS;Paid
O00809;QRIS;Paid
O00810;QRIS;Paid
O00811;Transfer;Paid
O00812;Transfer;Paid
O00813;Credit Card;Paid
O00814;Credit Card;Paid
O00815;COD;Failed
O00816;Transfer;Failed
O00817;COD;Failed
O00818;QRIS;Paid
O00819;E-Wallet;Paid
O00820;E-Wallet;Failed
O00821;QRIS;Paid
O00822;Transfer;Paid
O00823;COD;Paid
O00824;E-Wallet;Paid
O00825;COD;Failed
O00826;Transfer;Failed
O00827;Credit Card;Paid
O00828;Credit Card;Paid
O00829;COD;Failed
O00830;Transfer;Paid
O00831;Transfer;Paid
O00832;QRIS;Paid
O00833;COD;Paid
O00834;QRIS;Paid
O00835;QRIS;Failed
O00836;QRIS;Paid
O00837;Credit Card;Paid
O00838;E-Wallet;Failed
O00839;Credit Card;Failed
O00840;COD;Paid
O00841;E-Wallet;Paid
O00842;E-Wallet;Paid
O00843;COD;Paid
O00844;Credit Card;Paid
O00845;COD;Paid
O00846;Credit Card;Paid
O00847;COD;Paid
O00848;COD;Paid
O00849;Credit Card;Paid
O00850;Transfer;Failed
O00851;QRIS;Paid
O00852;E-Wallet;Paid
O00853;Transfer;Paid
O00854;E-Wallet;Paid
O00855;COD;Paid
O00856;Transfer;Failed
O00857;E-Wallet;Failed
O00858;Credit Card;Paid
O00859;Transfer;Failed
O00860;QRIS;Paid
O00861;QRIS;Paid
O00862;Credit Card;Paid
O00863;E-Wallet;Paid
O00864;E-Wallet;Paid
O00865;E-Wallet;Failed
O00866;E-Wallet;Failed
O00867;COD;Paid
O00868;E-Wallet;Paid
O00869;E-Wallet;Paid
O00870;Credit Card;Paid
O00871;Transfer;Paid
O00872;COD;Paid
O00873;Credit Card;Paid
O00874;E-Wallet;Failed
O00875;E-Wallet;Paid
O00876;QRIS;Paid
O00877;Credit Card;Paid
O00878;Transfer;Paid
O00879;QRIS;Paid
O00880;Transfer;Failed
O00881;Credit Card;Paid
O00882;E-Wallet;Paid
O00883;Credit Card;Paid
O00884;E-Wallet;Paid
O00885;COD;Paid
O00886;COD;Failed
O00887;Credit Card;Failed
O00888;Credit Card;Paid
O00889;QRIS;Paid
O00890;QRIS;Paid
O00891;E-Wallet;Paid
O00892;Credit Card;Paid
O00893;COD;Paid
O00894;QRIS;Paid
O00895;Credit Card;Failed
O00896;QRIS;Paid
O00897;QRIS;Failed
O00898;QRIS;Paid
O00899;COD;Failed
O00900;Credit Card;Paid
O00901;Credit Card;Paid
O00902;Credit Card;Failed
O00903;COD;Paid
O00904;COD;Paid
O00905;Credit Card;Failed
O00906;Credit Card;Failed
O00907;COD;Failed
O00908;QRIS;Paid
O00909;COD;Paid
O00910;QRIS;Paid
O00911;COD;Paid
O00912;Transfer;Paid
O00913;Credit Card;Paid
O00914;QRIS;Paid
O00915;QRIS;Failed
O00916;Credit Card;Paid
O00917;E-Wallet;Failed
O00918;Credit Card;Paid
O00919;QRIS;Paid
O00920;Transfer;Paid
O00921;COD;Failed
O00922;Credit Card;Paid
O00923;COD;Failed
O00924;QRIS;Paid
O00925;Transfer;Paid
O00926;E-Wallet;Paid
O00927;COD;Failed
O00928;COD;Paid
O00929;COD;Paid
O00930;Transfer;Paid
O00931;QRIS;Paid
O00932;E-Wallet;Paid
O00933;Transfer;Paid
O00934;Credit Card;Paid
O00935;COD;Paid
O00936;Transfer;Failed
O00937;Transfer;Paid
O00938;COD;Paid
O00939;E-Wallet;Paid
O00940;Credit Card;Paid
O00941;Credit Card;Failed
O00942;E-Wallet;Paid
O00943;QRIS;Paid
O00944;Transfer;Paid
O00945;COD;Paid
O00946;COD;Paid
O00947;E-Wallet;Paid
O00948;Credit Card;Paid
O00949;Credit Card;Paid
O00950;Transfer;Paid
O00951;Transfer;Paid
O00952;Credit Card;Paid
O00953;E-Wallet;Paid
O00954;Transfer;Paid
O00955;Credit Card;Failed
O00956;E-Wallet;Paid
O00957;QRIS;Paid
O00958;Transfer;Paid
O00959;COD;Paid
O00960;Credit Card;Paid
O00961;Credit Card;Paid
O00962;COD;Paid
O00963;Transfer;Failed
O00964;QRIS;Paid
O00965;Credit Card;Failed
O00966;Credit Card;Paid
O00967;QRIS;Failed
O00968;Credit Card;Paid
O00969;QRIS;Paid
O00970;Transfer;Paid
O00971;Credit Card;Paid
O00972;E-Wallet;Failed
O00973;E-Wallet;Paid
O00974;COD;Failed
O00975;Transfer;Paid
O00976;COD;Paid
O00977;QRIS;Paid
O00978;COD;Failed
O00979;QRIS;Paid
O00980;Transfer;Paid
O00981;Transfer;Paid
O00982;Credit Card;Paid
O00983;E-Wallet;Paid
O00984;Credit Card;Paid
O00985;Transfer;Paid
O00986;QRIS;Paid
O00987;QRIS;Paid
O00988;COD;Paid
O00989;COD;Failed
O00990;COD;Paid
O00991;E-Wallet;Paid
O00992;Transfer;Failed
O00993;QRIS;Paid
O00994;Credit Card;Failed
O00995;E-Wallet;Failed
O00996;QRIS;Paid
O00997;Transfer;Paid
O00998;E-Wallet;Paid
O00999;Credit Card;Failed
O01000;E-Wallet;Paid
O01001;QRIS;Paid
O01002;E-Wallet;Paid
O01003;QRIS;Failed
O01004;COD;Paid
O01005;Transfer;Paid
O01006;Transfer;Paid
O01007;QRIS;Paid
O01008;COD;Paid
O01009;Transfer;Paid
O01010;COD;Paid
O01011;E-Wallet;Failed
O01012;E-Wallet;Paid
O01013;QRIS;Failed
O01014;Transfer;Paid
O01015;COD;Paid
O01016;E-Wallet;Paid
O01017;Transfer;Paid
O01018;QRIS;Paid
O01019;QRIS;Paid
O01020;Transfer;Failed
O01021;E-Wallet;Paid
O01022;Credit Card;Failed
O01023;E-Wallet;Paid
O01024;Credit Card;Paid
O01025;QRIS;Failed
O01026;QRIS;Paid
O01027;QRIS;Failed
O01028;E-Wallet;Failed
O01029;Transfer;Paid
O01030;COD;Paid
O01031;Credit Card;Paid
O01032;Transfer;Paid
O01033;E-Wallet;Paid
O01034;Transfer;Failed
O01035;Transfer;Failed
O01036;E-Wallet;Paid
O01037;COD;Paid
O01038;QRIS;Paid
O01039;Transfer;Paid
O01040;COD;Paid
O01041;E-Wallet;Paid
O01042;COD;Paid
O01043;COD;Paid
O01044;E-Wallet;Paid
O01045;QRIS;Paid
O01046;QRIS;Paid
O01047;QRIS;Paid
O01048;Credit Card;Paid
O01049;Credit Card;Paid
O01050;E-Wallet;Paid
O01051;E-Wallet;Paid
O01052;Credit Card;Paid
O01053;E-Wallet;Paid
O01054;COD;Paid
